기관명,사회서비스분야,주된목적,사업내용,인증여부,인증일자,인증번호,대표자명,전화번호,소재지도로명주소,소재지지번주소,홈페이지주소,데이터기준일자,제공기관코드,제공기관명
㈜감천종합관리,청소,일자리제공형,"건물시설관리, 방역",,,,조상희,032-426-6262,인천광역시 남동구 석산로 235,,,2019-06-11,6280000,인천광역시
(주)청솔노인요양센터,간병및가사지원,일자리제공형,"방문요양, 방문목욕,",,,,김준모,032-425-0630,인천광역시 남동구 백범로 411-1,,,2019-06-11,6280000,인천광역시
㈜채움에이치알디,기타,혼합형,"기타컨설팅, 직업소개",,,,이수연,032-330-0157,인천광역시 남동구 백범로 376,,,2019-06-11,6280000,인천광역시
스마일시스템㈜,기타,일자리제공형,"디자인, 홈페이지, 판촉물",,,,조선현,032-427-5332,인천광역시 남동구 문화로133번길 44,,,2019-06-11,6280000,인천광역시
㈜반디숲,기타,혼합형,자연물 만들기 교구제작,,,,이경미,032-434-0557,인천광역시 남동구 도림북로19번길 12-26,,,2019-06-11,6280000,인천광역시
(주)엘림엔터테인먼트,예술·관광,일자리제공형,문화예술분야공연기획,,,,노승법,032-434-6989,인천광역시 남동구 논고개로 393,,,2019-06-11,6280000,인천광역시
선문그린존㈜,청소,일자리제공형,"청소위생관리, 경비, 조경",,,,"박문수, 김진숙",032-461-1323,인천광역시 남동구 남촌동로 45번길 3,,,2019-06-11,6280000,인천광역시
㈜해주부용기타,기타,일자리제공형,"만두생산, 판매",,,,윤향순,032-464-4843,인천광역시 남동구 남촌동로35번길 14,,,2019-06-11,6280000,인천광역시
㈜이레인텍,기타,일자리제공형,"고효율LED등, 공기청정기",,,,이미옥,032-434-3616,인천광역시 남동구 남동동로 293,,,2019-06-11,6280000,인천광역시
(주)아가페,간병및가사지원,일자리제공형,재가장기요양기관,,,,김헌수,032-434-3798,인천광역시 남동구 남동대로 906,,,2019-06-11,6280000,인천광역시
네모클린사회적협동조합,청소,일자리제공형,"건물청소, 소독, 청소",,,,강성심,032-428-3700,인천광역시 남동구 구월말로91번길 18-2,,,2019-06-11,6280000,인천광역시
㈜예주식품,기타,일자리제공형,"한과 제조, 도매, 소매",Y,2017-09-12,,박희연,042-524-7205,대전광역시 서구 도마8길 16(도마동),대전광역시 서구 도마동 96-8,http://yejufood.kr/,2019-08-16,3660000,대전광역시 서구
(주)포세듀,기타,혼합형,"기업, 대학교 교육서비스",Y,2017-11-16,,손부경,042-633-8555,"대전광역시 서구 둔산대로117번길102,601호(만년동)","대전광역시 서구 만년동 395, 601호",http://www.forsedu.com/,2019-08-16,3660000,대전광역시 서구
애프터스쿨사회적협동조합,기타,일자리제공형,방과후 학교지원,Y,2018-12-28,,이명영,042-488-1900,"대전광역시 서구 둔산남로9번길79, 3층 301호(둔산동)","대전광역시 서구 둔산동 1188, 301호",,2019-08-16,3660000,대전광역시 서구
행복물류산업협동조합,기타,지역사회공헌형,"정부양곡 배송사업, 청소업",Y,2018-12-28,,이원동,042-527-2004,대전광역시 서구 탄방로130(용문동),대전광역시 서구 용문동 236-4,,2019-08-16,3660000,대전광역시 서구
(주)필리스,기타,일자리제공형,"이벤트장비대여, 공연기획, 음악교육",Y,2017-05-10,,정복덕,042-485-4484,대전광역시 서구 갈마중로 34(갈마동),대전광역시 서구 갈마동 345-10,,2019-08-16,3660000,대전광역시 서구
(사)행복한동행,기타,혼합형,"청소년체험교육, 숲체험 운영 등",Y,2017-03-02,,장미연,042-487-3480,"대전광역시 서구 둔산중로 38, 307호(둔산동, 둔산메트로존)","대전광역시 서구 둔산동 1419, 둔산메트로존 307호",,2019-08-16,3660000,대전광역시 서구
농업회사법인햇님원㈜,기타,일자리제공형,"학교급식용 콩나물 공급, 푸드뱅크",Y,2015-09-22,,최성현,042-531-4860,"대전광역시 서구 가장로 52, 114호(괴정동,천연빌딩)","대전광역시 서구 괴정동 73-4, 114호",www.햇님원.한국/,2019-08-16,3660000,대전광역시 서구
목원스마트스쿨사회적협동조합,기타,혼합형,방과후 학교지원,Y,2014-09-19,,김태순,042-829-7273,"대전광역시 서구 도안북로88, U관 401호(도안동,목원대학교)","대전광역시 서구 도안동 800, 목원대학교 U관 401호",www.msschool.co.kr,2019-08-16,3660000,대전광역시 서구
㈜우리집인테리어,기타,혼합형,저소득가구 주거복지(집수리) 서비스,N,2019-04-19,,김종현,055-688-5890,"경상남도 거제시 옥포로23길 5, 101호",,,2019-07-25,5370000,경상남도 거제시
농업회사법인산속농장㈜,기타,혼합형,맹종죽 생활용품 및 식품 제조,N,2019-04-19,,이완순,055-635-1970,경상남도 거제시 장목면 거제북로 1290-22,,,2019-07-25,5370000,경상남도 거제시
주식회사마이벨로,기타,혼합형,"전기자전거, 전동휠체어제조 및 판매",,,,최기호,,전라남도 순천시 해룡면 율촌산단4로 26-192 표준공장 A동102,전라남도 순천시 호두리 1158-5,,2020-01-02,4820000,전라남도 순천시
㈜바름산업,기타,혼합형,"노후누전차단기교체, 시설물유지관리",,,,김성기,061-741-6999,전라남도 순천시 장천1길 13-25 KMG BUILDING,전라남도 순천시 장천동 30-5,,2020-01-02,4820000,전라남도 순천시
협동조합고쳐드림,기타,혼합형,주택개선및도시환경개서,,,,서일영,,전라남도 순천시 서문성터길 50,전라남도 순천시 금곡동 79-2,,2020-01-02,4820000,전라남도 순천시
㈜다해브러,기타,혼합형,숙박업소청소,,,,배순철,,전라남도 순천시 중앙초등길50(풍덕동),전라남도 순천시 풍덕동 887-25,http://dahaeyo.co.kr/,2020-01-02,4820000,전라남도 순천시
사이영협동조합,기타,혼합형,"장애인식개선교육, 공연",,,,강세웅,061-755-0787,전라남도 순천시 시민로 46-1,전라남도 순천시 남내동 3-2,,2020-01-02,4820000,전라남도 순천시
한국정원식물협동조합,기타,혼합형,정원관리,,,,이용섭,061-741-7776,전라남도 순천시 이수로254(조례동),전라남도 순천시 조례동 1327-1,http://www.kgpc.kr/,2020-01-02,4820000,전라남도 순천시
㈜맛거리그린푸드,기타,혼합형,"즉석조리식품판매, 교육",,,,김상환,061-755-5587,전라남도 순천시 서면 동산길20,전라남도 순천시 동산리 388,,2020-01-02,4820000,전라남도 순천시
농업회사법인순천만누룽지㈜,기타,혼합형,수제누룽지 유통,,,,김종훈,061-744-6655,"전라남도 순천시 연향번영2길25,1층(연향동)",전라남도 순천시 연향동 1374-5,,2020-01-02,4820000,전라남도 순천시
전남서점협동조합,기타,혼합형,도서납품 및 도서마크,,,,박윤철,061-746-8181,전라남도 순천시 양율길 326,전라남도 순천시 인월동 595,,2020-01-02,4820000,전라남도 순천시
농업회사법인 순천엔매실㈜,기타,혼합형,"매실공동선별, 매실가공",,,,김선일,061-755-2015,전라남도 순천시 월등면 월등로88,전라남도 순천시 운월리 254-1,,2020-01-02,4820000,전라남도 순천시
㈜꿈꾸는 사람들,기타,혼합형,"버스광고, 인쇄, 유통",,,,김상일,061-723-1363,전라남도 순천시 옥천길 64,전라남도 순천시 영동 49-1,,2020-01-02,4820000,전라남도 순천시
㈜다원,기타,혼합형,황칠김치 판매,,,,이은옥,,전라남도 순천시 가곡3길20(가곡동),전라남도 순천시 가곡동 973-1,,2020-01-02,4820000,전라남도 순천시
순천가드너협동조합,기타,혼합형,정원용품판매 및 조성,,,,김영준,061-751-6045,전라남도 순천시 조비길 205 리코리코,전라남도 순천시 석현동 613,,2020-01-02,4820000,전라남도 순천시
행복나눔터영농조합법인,기타,혼합형,"농산물가공, 제조",,,,박길선,061-742-5744,전라남도 순천시 별량면 금치대치길 132,전라남도 순천시 금치리 1046,,2020-01-02,4820000,전라남도 순천시
농업회사법인 순천송광㈜,기타,혼합형,"농산물가공, 유통, 판매",,,,황춘하,061-754-3600,전라남도 순천시 송광면 쌍향수길1352,전라남도 순천시 이읍리 1403-3,,2020-01-02,4820000,전라남도 순천시
㈜두레아트,기타,혼합형,공예품 제조판매,,,,김현정,061-904-6089,전라남도 순천시 장천2길 35-1,전라남도 순천시 장천동 40,,2020-01-02,4820000,전라남도 순천시
㈜조은,기타,혼합형,"물티슈, 물수건 제조",,,,신영식,061-752-8282,전라남도 순천시 서면 구만장선길1,전라남도 순천시 구만리 611-2,,2020-01-02,4820000,전라남도 순천시
㈜자연애나누미,기타,혼합형,떡 제조판매,,,,김도곤,061-723-0330,전라남도 순천시 별량면 온수길65,전라남도 순천시 봉림리 901-1,,2020-01-02,4820000,전라남도 순천시
순천만기도서농업회사법인,기타,혼합형,들기름 생산판매,,,,기도서,061-744-2007,전라남도 순천시 별량면 일출길158,전라남도 순천시 학산리 43-9,,2020-01-02,4820000,전라남도 순천시
㈜더플레이,기타,혼합형,문화행사 및 교육 등,,,,백순호,061-744-6910,전라남도 순천시 장천안길 5-42 3층(장천동),전라남도 순천시 장천동 38-24,,2020-01-02,4820000,전라남도 순천시
㈜앨리스,기타,혼합형,"문화예술기획,디자인",,,,허명수,061-751-0020,전라남도 순천시 호남길45(행동),전라남도 순천시 행동 135,,2020-01-02,4820000,전라남도 순천시
해늘사회적협동조합,기타,혼합형,커튼 등 창호제품,,,,최평복,061-755-6262,전라남도 순천시 가곡4길9(가곡동),전라남도 순천시 가곡동 970-11,http://hncoop.kr/,2020-01-02,4820000,전라남도 순천시
이엔에스㈜,기타,혼합형,평생교육전문기관,,,,김안남,061-751-6888,"전라남도 순천시 북문길122, 2층(매곡동)",전라남도 순천시 매곡동 33-2,,2020-01-02,4820000,전라남도 순천시
㈜순천힐링체험투어,기타,혼합형,"힐링여행, 기념품판매",,,,차점주,061-742-9121,전라남도 순천시 장명로 6 1층,전라남도 순천시 장천동 58-2,http://www.힐링체험투어.kr/,2020-01-02,4820000,전라남도 순천시
사단법인 에듀펀플러스,기타,혼합형,방과후학교 프로그램운영,,,,김세원,061-750-5361,전라남도 순천시 중앙로 255 순천대학교,전라남도 순천시 석현동 313,,2020-01-02,4820000,전라남도 순천시
㈜에코그린,기타,혼합형,"EM비누, 화장품 등",,,,오영희,061-746-9195,전라남도 순천시 이수로 18 진여한복,전라남도 순천시 장천동 85-6,,2020-01-02,4820000,전라남도 순천시
삼공사공안테나숍㈜,기타,혼합형,제과ㆍ제빵 제품,,,,김복희,061-745-9200,전라남도 순천시 비례골길 24,전라남도 순천시 조례동 22,,2020-01-02,4820000,전라남도 순천시
(유)바늘쟁이,기타,혼합형,"의류,가방,수공예품",,,,김미정,070-4110-0471,전라남도 순천시 환선로 24,전라남도 순천시 동외동 178-5,사이트 내 검색저장된 페이지,2020-01-02,4820000,전라남도 순천시
행복한 밥상,기타,혼합형,자연드림,,,,조성규,061-726-8285,전라남도 순천시 해룡면 율촌로 159 산청가든,전라남도 순천시 해룡면 호두리 436,열기,2020-01-02,4820000,전라남도 순천시
창평슬로시티지회,예술·관광,일자리제공형,슬로푸드 및 체험,,,,황거부,061-383-3807,전라남도 담양군 창평면 돌담길 56-24,전라남도 담양군 창평면 창평리 113-1,www.slowcp.com,2019-12-31,4850000,전라남도 담양군
대구YMCA 신천에스파스사업단,환경,일자리제공형,신천생태습지 조성 및 생태교육사업,Y,2010-01-21,2009-063,김경민,053-255-0218,"대구광역시 중구 중앙대로 375(덕산동, 대구YMCA)",대구광역시 중구 덕산동 116 대구YMCA,,2019-01-31,6270000,대구광역시
㈜서구웰푸드,기타,일자리제공형,"출장뷔페, 도시락 제조 및 판매, 아동급식",Y,2009-11-11,2009-043,양애향,053-555-4842,대구광역시 서구 서대구로 220(평리동),대구광역시 서구 평리동 721-2,,2019-01-31,6270000,대구광역시
대구YMCA 희망자전거제작소사업단,예술·관광,일자리제공형,"재활용 자전거 생산, 문화예술 사업",Y,2008-12-30,2008-133,김경민,053-255-0218,"대구광역시 중구 중앙대로 375(덕산동, 대구YMCA)",대구광역시 중구 덕산동 116 대구YMCA,,2019-01-31,6270000,대구광역시
농업회사법인 팔공산김치㈜,기타,일자리제공형,김치류제조,,,,김태종,053-983-8030,대구광역시 동구 동촌로333-7(신평동),,,2020-01-16,3420000,대구광역시 동구
무한상사 사회적협동조합,기타,지역사회공헌형,공공기관과 사회적경제기업간의 상품 서비스 연계 거래 활성화,,,,이맹자,053-986-9951,"대구광역시 동구 도평로 123, 2층(도동)",,,2020-01-16,3420000,대구광역시 동구
지역문화공동체반반협동조합,기타,창조혁신형(기타),"축제기획 및 행사진행, 마술",,,,진병철,053-268-0707,대구광역시 동구 안심로188(신기동),,,2020-01-16,3420000,대구광역시 동구
㈜이앤에이치,기타,일자리제공형,천연염색의류 및 소품제작,,,,이진옥,053-743-0838,대구광역시 동구 팔공로45길27(봉무동),,,2020-01-16,3420000,대구광역시 동구
그루터기 협동조합,기타,일자리제공형,천로프제조 판매,,,,노성기,053-963-7991,대구광역시 동구 반야월북로12길 13-1(율암동),,,2020-01-16,3420000,대구광역시 동구
반야월연근사랑협동조합,기타,일자리제공형,"연근식당, 제조, 판매",,,,정현정,053-964-0912,대구광역시 동구 동호로2길 13-5(동호동),,,2020-01-16,3420000,대구광역시 동구
레드리본사회적협동조합,기타,일자리제공형,"에이즈인식개선 및 자활지원, 소셜카폐 빅핸즈 운영",,,,김지영,070-8877-5448,대구광역시 동구 안심로50길 25(서호동),,,2020-01-16,3420000,대구광역시 동구
㈜옹진물산,고용서비스,일자리제공형,택배 및 운송 물류,,,,곽창렬,032-836-4677,인천광역시 옹진군 백령면 사곶로 122,,,2020-01-13,3580000,인천광역시 옹진군
㈜으름실마을공동체,기타,지역사회공헌형,산채나물 생산 및 가공판매,,,,강일규,032-858-7383,인천광역시 옹진군 덕적면 덕적북로 430,,,2020-01-13,3580000,인천광역시 옹진군
㈜백양테크,고용서비스,일자리제공형,배전반 제조 및 발전설비,,,,안병돈,032-880-0523,"인천광역시 옹진군 영흥면 영흥로 418, 103호",,,2020-01-13,3580000,인천광역시 옹진군
㈜옹이진이스포츠진흥원,기타,사회서비스제공형,"특수체육,아동체육",,,,이종선,032-111-1111,인천광역시 옹진군 북도면 장봉로530번길 34,,,2020-01-13,3580000,인천광역시 옹진군
㈜파이코,기타,일자리제공형,분사기 및 소화기 제조업,,,,호윤기,032-821-0113,인천광역시 남동구 남동대로 362(남촌동),,,2020-01-13,3530000,인천광역시 남동구
㈜한스팝,기타,일자리제공형,"산업자재, 기업 소모성 자재 구매 대행",,,,김용환,032-442-0022,"인천광역시 남동구 은봉로 309-1, 4~5층(논현동)",,,2020-01-13,3530000,인천광역시 남동구
㈜마띠아,기타,일자리제공형,디저트류 제과제빵,,,,이영우,032-461-0695,"인천광역시 남동구 함박뫼로347번길 53, 2층(남촌동)",,,2020-01-13,3530000,인천광역시 남동구
(주)해주부용식품,기타,일자리제공형,북한식 만두 제조 및 판매,,,,윤향순,032-464-4843,인천광역시 남동구 남촌동로 35번길14(남동촌),,,2020-01-13,3530000,인천광역시 남동구
(사) 공정무역인천광장,기타,일자리제공형,"커피및차, 피자, 햄버거, 샌드위치및유사음식점업",,,,나봉훈,032-422-6116,"인천광역시 남동구 예술로 206, 비동 402호(구월동, 구월중앙프라자)",,,2020-01-13,3530000,인천광역시 남동구
㈜이지피플,기타,일자리제공형,"조경식재 공사업, 정원장식용품, 산림보존및 관리",,,,지혜진,070-4042-1580,"인천광역시 남동구 아암대로 1223, 315호(고잔동, 성강지식산업센터)",,,2020-01-13,3530000,인천광역시 남동구
(주)우광테크,기타,일자리제공형,전기자재(부품) 제조업,,,,안생열,032-815-3742,인천광역시 남동구 호구포로 14번길 115 (고잔동),인천광역시 남동구 고잔동 733,http://www.wktech.kr,2020-01-13,3530000,인천광역시 남동구
협동조합 꿈꾸는문화놀이터뜻,기타,지역사회공헌형,"문화예술 및 교육사업, 행사대행",,,,정윤호,032-468-5432,"인천광역시 남동구 인주대로888번길 36, 3층 301호(만수동)",인천광역시 남동구 만수동 1076-12 301호,,2020-01-13,3530000,인천광역시 남동구
(주)감천종합관리,청소,일자리제공형,"건물청소 및 시설관리(방역), 물탱크 및 에어컨 청소",,,,조상희,032-426-6262,"인천광역시 남동구 석산로 235, 2층(간석동)",인천광역시 남동구 간석동 913-11 2층,,2020-01-13,3530000,인천광역시 남동구
까레몽협동조합,기타,일자리제공형,"제과제빵(쌀빵, 쌀과자, 쌀케익 등)",,,,김봉수,032-423-0033,"인천광역시 남동구 오봉로 2, 402호 일부(도림동)",인천광역시 남동구 도림동 632-1 4층,http://xn--hl0b88h1zdh9cbvyllss7a.com/,2020-01-13,3530000,인천광역시 남동구
인천서점협동조합,기타,일자리제공형,도서 도소매 납품 및 전산등록,,,,문인홍,032-428-8201,"인천광역시 남동구 예술로258번길 5, 101동 113호(간석동, 덕산아파트상가)",인천광역시 남동구 간석동 908 덕산아파트상가 101동 113호,,2020-01-13,3530000,인천광역시 남동구
협동조합청솔주거복지센터,기타,일자리제공형,"저소득층 주거환경개선사업, 주택수리 및 시설(경로당 등) 개·보수",,,,문영록,032-472-4318,"인천광역시 남동구 인수북로 4번길 36, 1층",인천광역시 남동구 만수동 102-52 2층,,2020-01-13,3530000,인천광역시 남동구
네모클린사회적협동조합,청소,일자리제공형,"청소, 소독, 청소용품 판매",,,,강성심,032-428-3700,"인천광역시 남동구 구월말로 91번길 18-2,가동 102호(만수동,소망그랜드시티빌)","인천광역시 남동구 만수동 901-21, 가동 102호(만수동, 소망그랜드시티빌)",,2020-01-13,3530000,인천광역시 남동구
(주)채움에이치알디,기타,혼합형,"교육컨설팅, 유료직업소개, 직업정보제공",,,,이수연,032-822-7073,"인천광역시 남동구 백범로 376, 601호(간석동, 도시타워)",인천광역시 남동구 간석동 111-5,http://www.chaeumhrd.co.kr,2020-01-13,3530000,인천광역시 남동구
(주)하얀나라,기타,일자리제공형,"병원세탁물(침대시트, 환자복, 이블 등) 세탁업",,,,김남호,032-442-5005,인천광역시 남동구 청능대로 534번길 34-2(논현동),인천광역시 남동구 고잔동 86-8,,2020-01-13,3530000,인천광역시 남동구
(주)이레인텍,기타,사회서비스제공형,"LED 조명기구 제조 판매, 판촉물 제작",,,,이미옥,032-434-3616,"인천광역시 남동구 남동동로 293(논현동, 1층일부)",인천광역시 남동구 고잔동 742-12(남동공단 170블록 14로트),,2020-01-13,3530000,인천광역시 남동구
㈜비씨에이치 푸드,고용서비스,일자리제공형,"식품제조가공, 발효식품",,,,함현철,061-246-7400,전라남도 무안군 일로읍 영친길 178-38,,,2020-01-01,4950000,전라남도 무안군
(주)위더스에프앤비농업회사법인,고용서비스,일자리제공형,양파즙 등 건강즙 제조,,,,김호윤,061-454-8589,전라남도 무안군 현경면 윗마실길 67,,,2020-01-01,4950000,전라남도 무안군
주식회사 가치이룸,기타,사회서비스제공형,"우리무예 교육 및 체험사업,공연·기획사업, 공방사업(한복)",,,,손은애,061-287-8322,"전라남도 무안군 삼향읍 어진누리길 26-10, 2층",,,2020-01-01,4950000,전라남도 무안군
하늘꿈요리보따리주식회사농업회사법인,기타,지역사회공헌형,"휴게음식(밀키트, 도시락, 디저트 등), 교육·체험",,,,이명미,061-284-7050,전라남도 무안군 일로읍 인의로 643,,,2020-01-01,4950000,전라남도 무안군
㈜해피락,기타,혼합형,"도시락, 출장뷔페",,,,최영자,061-744-7993,전라남도 순천시 가곡동 738-3,전라남도 순천시 가곡동 738-3,http://www.scywca.kr/sub.asp?maincode=577&sub_sequence=591,2020-01-02,4820000,전라남도 순천시
주식회사 비위더스,기타,창조혁신형(기타),척추 장애인들 위한 재활 치료 프로그램 제공 및 자가 운동을 위한 기구 제작 및 보급,,,,박승용,053-267-5008,"대구광역시 동구 율하동로 50, 4층(율하동)",,,2020-01-16,3420000,대구광역시 동구
㈜희망정거장,기타,창조혁신형(기타),"방송, 공연 콘텐츠 제작 및 브랜딩, 청소년을 위한 방송, 공연 분야 진로 교육, 공연장 대관 및 자체콘텐츠, 기획 공연",,,,류선희,070-7316-2717,"대구광역시 동구 해동로 160, 2층(검사동)",,,2020-01-16,3420000,대구광역시 동구
마을의정원협동조합,기타,창조혁신형(기타),"저소득 경력단절 여성들에게 공유경제공간(창업공간) 제공, 공예체험 플리마켓, 문화센터, 쇼핑몰 운영, 음료 판매",,,,유영민,053-959-0123,"대구광역시 동구 율하동로 52, 4층(율하동)",,,2020-01-16,3420000,대구광역시 동구
㈜크린스토리,기타,창조혁신형(기타),"세탁소운영, 세탁관련 기자재 개발 및 의류가공, 염색, 수선",,,,박수철,053-751-5001,대구광역시 동구 동부로22길 2,,,2020-01-16,3420000,대구광역시 동구
주식회사 지웍스,기타,창조혁신형(기타),"핸드크라프트제품 제조 및 판매, 디자인업(출판,인쇄), 교육서비스 등(여성가장, 한부모가정, 장애인들 대상 안정적 일자리 제공)",,,,변수영,070-4116-0588,"대구광역시 동구 동촌로45길 17, 2층(방촌동)",,,2020-01-16,3420000,대구광역시 동구
식스팜원예복지협동조합,기타,창조혁신형(기타),"화훼상품 생산, 유통, 교육 서비스,청소년 장애인 원예치료 프로그램",,,,이성해,053-985-1473,대구광역시 동구 팔공로 61(불로동),,,2020-01-16,3420000,대구광역시 동구
"주식회사 에이치앤에이치그룹 (HNH GROUP Co.,Ltd.)",기타,창조혁신형(기타),"쌀을 이용한 유기농 비누 및 기능성 명품 비누 제조, 판매 및 수출, 취약계층 아토피, 여드름 등 환우 지원, 쌀의 가치 향상 및 농가소득 증대",,,,이준대,053-247-8882,"대구광역시 동구 동대구로 489, 505호(신천동)",,,2020-01-16,3420000,대구광역시 동구
농업회사법인㈜나무를심은사람,기타,일자리제공형,수제잼생산을 통한 장애인일자리제공,,,,정재욱,053-214-0405,대구광역시 동구 아양로52길 35(효목동),,,2020-01-16,3420000,대구광역시 동구
바트리움㈜,기타,창조혁신형(기타),운동센터를 통한 운동치료,,,,배규병,053-965-9899,"대구광역시 동구 이노밸리로36길 13,401호(각산동)",,,2020-01-16,3420000,대구광역시 동구
㈜이데아고라,기타,창조혁신형(기타),"은퇴자여가설계, 시니어의 삶의기록",,,,전상건,,"대구광역시 동구 효신로 69, 2층(신천동)",,,2020-01-16,3420000,대구광역시 동구
㈜드림스,기타,창조혁신형(기타),식자재 및 농산물 도매납품,,,,이현준,053-000-0000,"대구광역시 동구 대현로 137, 2층(신암동)",,,2020-01-16,3420000,대구광역시 동구
금강나루사회적협동조합,기타,창조혁신형(기타),"농산물재배,로컬푸드매장운영",,,,류경원,053-965-5249,대구광역시 동구 금강로 117(신서동),,,2020-01-16,3420000,대구광역시 동구
㈜화진산업,기타,일자리제공형,"장갑제조 및 사무용품 판매·임대, 택시운수업",Y,2008-04-18,2008-012,이현진,053-963-1050,대구광역시 동구 안심로65길 13(각산동),대구광역시 동구 각산동 300-12,,2019-01-31,6270000,대구광역시
(주)다우환경,환경,일자리제공형,사업시설관리 및 사업지원 서비스업(N),Y,2010-12-22,제2010-187호,"이정일,서유미",062-512-7482,광주광역시 북구 우치로 25,,,2019-05-31,6290000,광주광역시
엠마우스일터,사회복지,일자리제공형,보건업 및 사회복지 서비스업(Q),Y,2010-10-20,제2010-105호,최순자,062-371-8801,광주광역시 서구 금호운천길 5,,www.emmausac.or.kr,2019-05-31,6290000,광주광역시
ymca광주아가야,기타,일자리제공형,교육 서비스업(P),Y,2009-05-28,제2009-022호,이계양,062-613-7180,광주광역시 북구 하서로 52,,www.iymca.or.kr,2019-05-31,6290000,광주광역시
(주)빛고을건설,기타,사회서비스제공형,건설업(F),Y,2008-12-30,제2008-145호,노종영,062-385-3833,광주광역시 서구 마현길 34-1,,,2019-05-31,6290000,광주광역시
(주) 희망자원,환경,기타형,"하수, 폐기물처리, 원료재생 및 환경복원업(E)",Y,2008-12-30,제2008-147호,정향자,062-681-1420,광주광역시 서구 풍서좌로 203-2,,,2019-05-31,6290000,광주광역시
(유)행복을나누는도시락,기타,사회서비스제공형,제조업(C),Y,2008-12-30,제2008-146호,정홍채,062-384-3184,광주광역시 서구 구룡길 20,,,2019-05-31,6290000,광주광역시
주식회사두리디자인,기타,일자리제공형,인쇄물 및 옥외광고물 제작,,,,황혜정,031-404-7444,경기도 시흥시 시청로72번길 11-4 1층,경기도 시흥시 장현동535-6번지 1층,,2019-05-31,4010000,경기도 시흥시
㈜마술여행,기타,사회서비스제공형,마술공연 및 교육,,,,김영재,,"전라남도 목포시 평화로 38-5, 2층",,,2019-12-12,4800000,전라남도 목포시
㈜희망드림센터,기타,일자리제공형,양곡배송 등,,,,지옥분,,"전라남도 목포시 영산로 325, 605호",,,2019-12-12,4800000,전라남도 목포시
열정거북협동조합,기타,창조혁신형(기타),"광고, 디자인",,,,한정민,,"전라남도 목포시 영산로59번길 32-1, 3층",,,2019-12-12,4800000,전라남도 목포시
㈜도담도담,기타,일자리제공형,나무.금속 공예,,,,양미,070-8200-8728,"경기도 군포시 산본로 323번길4-25, 7층 701호","경기도 군포시 산본동 1131, 7층 701호서련빌딩",www.dodamtree.co.kr,2019-12-27,4020000,경기도 군포시
아트기버사회적협동조합,기타,사회서비스제공형,발달장애인음악치료,,,,서은미,031-360-7663,"경기도 군포시 번영로 502,505호(금정동)","경기도 군포시 금정동 874-1, 산본역사상가",www.artgiver.co.kr,2019-12-27,4020000,경기도 군포시
㈜이음커뮤니티,기타,일자리제공형,퀵서비스,,,,안대성,1800-9353,"경기도 군포시 용호1로 60번길4, 태평양프라자 502호",경기도 군포시 당동 960-2,,2019-12-27,4020000,경기도 군포시
㈜클린푸드팩토리,기타,일자리제공형,조미김,,,,이명숙,031-451-3651,"경기도 군포시 경수대로455, 5층508호",경기도 군포시 당정동 16-1,www.cleanfood3651.co.kr,2019-12-27,4020000,경기도 군포시
㈜장인건설,예술·관광,일자리제공형,"문화재수리, 황토시공",,,,김진욱,031-501-1577,경기도 군포시 대야2로67번길 14 (대야미동),경기도 군포시 대야미동 635-3,http://황토시공.한국/,2019-12-27,4020000,경기도 군포시
㈜각시피앤씨,기타,일자리제공형,화장지 제조 및 도매,,,,안교영,031-427-7533,경기도 군포시 산본로 63,경기도 군포시 당정동 111-1,www.gagseepnc.co.kr,2019-12-27,4020000,경기도 군포시
(주)영진크린,청소,일자리제공형,"건물위생관리, 각종청소, 소독, 방역사업",,,,서용식,031-427-3488,"경기도 군포시 당산로 155번길 12, 1층","경기도 군포시 금정동 734-12, 1층",www.영진크린.com,2019-12-27,4020000,경기도 군포시
㈜비비컴퍼니,기타,일자리제공형,쌀화환 판매사업,,,,김정대,1588-9887,"경기도 군포시 대야1로 22번길3, 202호","경기도 군포시 대야미동 654-3, 202호",www.goodflower.org,2019-12-27,4020000,경기도 군포시
주식회사 피플월드 (People World),기타,일자리제공형,"농산물, 화훼, 수산물, 수출입무역업, 의류수거 및 판매, 건물관리, 도시재생, 마을사업",,,,송혜림,031-962-0746,"경기도 고양시 덕양구 동헌로 163(대자동, 벽제벧엘교회지층)",,,2019-12-03,3940000,경기도 고양시
주식회사 에스엔소프트,기타,창조혁신형(기타),"소프트웨어자문/개발및공급, 교육용로봇, 소프트웨어, 교육용기자재, 무역",,,,이광재,031-901-2020,"경기도 고양시 일산동구 무궁화로 20-38, 504호(장항동, 로데오탑)",,hicoding.kr,2019-12-03,3940000,경기도 고양시
협동조합이노밸류,기타,지역사회공헌형,"컨설팅업, 간판 및 광고물 제조업, 행사장비대여, 연구용역, 직원훈련기관, 광고대행업",,,,윤정혜,031-816-7020,"경기도 고양시 일산동구 백마로213번길 12, 711호(장항동, 한솔프레미낭)",,ivi2015.modoo.at,2019-12-03,3940000,경기도 고양시
(사)아름다움나눔협회,기타,일자리제공형,"CCTV, LED, 전광판",,,,김정순,070-4866-3218,"경기도 고양시 덕양구 호국로 787, 306호(주교동, 원당메디컬프라자)",,,2019-12-03,3940000,경기도 고양시
