치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립년월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
고성군치매안심센터,치매안심센터,경상남도 고성군 고성읍 중앙로 35,경상남도 고성군 고성읍 성내리 27,34.97451724,128.3244477,2018-08,412,,0,4,2,,고성군 보건소,백두현,055-670-4075,,"치매조기검진, 위치주적기 및 인식표 지원, 재활프로그램운영, 치매 인식개선 교육 홍보 등",055-670-4053,고성군청,2020-07-10,5420000,경상남도 고성군
고성군치매안심센터,치매안심센터,강원도 고성군 간성읍 수성로 30,강원도 고성군 간성읍 신안리 178,38.3776166184,128.4721409102,2019-01,,"사무실1, 프로그램실1, 가족카페1, 검진실2, 휴게실1, 창고1",0,6,0,3,고성군보건소,변원용,033-680-3798,,"치매조기검진사업, 쉼터, 가족지지, 인지재활 등",,고성군보건소,2020-06-30,4340000,강원도 고성군
영암군치매안심센터,치매안심센터,전라남도 영암군 영암읍오리정길39,전라남도 영암군 영암읍춘양리 525번지,34.7946933,126.703828,2017-11,,영암군보건소,0,5,0,0,0,이국선,061-470-6667,,"실버인지건강학교, 뇌청춘돌려다오 인지재활프로그램브레인닥터",061-470-6525,영암군보건소,2020-07-13,4940000,전라남도 영암군
진도군치매안심센터,치매안심센터,전라남도 진도군 진도읍 남동1길 40-9,전라남도 진도군 진도읍 남동리 776-26,34.480308,126.2629491,2018-01,,,0,9,0,2,진도군보건소,박병애,061-540-6065,,"치매조기검진 및 등록관리, 인지건강프로그램 등",061-540-6065,진도군보건소,2020-07-01,5000000,전라남도 진도군
중구치매안심센터,치매안심센터,인천광역시 중구 참외전로72번길 21(전동),,37.47721594,126.629107,2017-12,549.61,사무실(1)+상담실(2)+진료실(1)+프로그램실(2)+쉼터(1),0,10,1,4,인천광역시 중구보건소,이대섭,032-760-6063,,"치매조기검진(선별,진단,감별검사), 치매환자등록관리, 맞춤형사례관리, 치매치료관리비 지원, 조호물품 지원, 치매안심마을 만들기, 공공후견인사업운영, 치매예방교실 운영(미술활동, 치매예방운동, 보드게임,한지공예,원예교실 등), 가족힐링프로그램(드라이플라워, 자조모임 등), 쉼터운영(운동치료,요리치료,미술치료,음악치료,감각활동,전산화인지재활,인지카드학습), 치매인식개선 및 홍보 사업, 치매파트너 양성사업 등.",032-760-6010,인천광역시 중구보건소,2020-07-03,3490000,인천광역시 중구
청도군치매안심센터,치매안심센터,경상북도 청도군 화양읍 산성강변길 472,경상북도 청도군 화양읍 송북리 45,35.654342,128.7381579,2019-07,454.51,"사무실, 교육, 상담실, 검진실, 쉼터 및 가족카페",1,4,1,8,청도군보건소,박미란,054-370-6470,,"치매진단등록, 환자쉼터, 인지재활치료, 비약물치료",054-370-2672,청도군치매안심센터,2020-06-30,5190000,경상북도 청도군
서구치매안심센터,치매안심센터,부산광역시 서구 천마로 176,부산광역시 서구 남부민동 67-10,35.0913214398,129.0228984526,2017-12,,"사무실, 상담·검진실, 프로그램실 일부 등(※ 19년 7월 신축중인 가족센터 내 이전 후 가족카페 및 프로그램운영을 위한 쉼터 등 치매안심센터 전용공간 확충 완료예정)",0,4,1,작업치료사(2)+임상심리사(1),서구보건소,성태봉,051-240-4864,,"치매조기검진, 등록관리, 인지향상교육, 의료비지원, 지역자원연계, 치매예방교육 및 인식개선사업 등",051-240-4864,서구보건소,2019-09-27,3260000,부산광역시 서구
울산광역시 북구치매안심센터,치매안심센터,울산광역시 북구 산업로 1018,울산광역시 북구 연암동 1082,35.583448,129.3607258,2018-09,324,"사무실, 환자쉼터, 가족카페, 검진실, 교육실, 프로그램실 등",2,11,1,4,울산광역시 북구보건소,손정미,052-241-8138,,"치매조기검진 및 치매환자 등록관리, 교육지원",052-289-3450,울산광역시 북구보건소,2019-09-06,3720000,울산광역시 북구
부천시치매상담센터,치매안심센터,경기도 부천시 옥산로 10번길 16(중동),경기도 부천시 중동 1119,37.4941654,126.7809773,2017-01,,,0,1,1,2,부천시보건소,전용한,032-625-4403,,"치매환자의 등록·관리,  치매의 예방·교육 및 홍보, 치매조기검진",,경기도 부천시청,2019-09-10,3860000,경기도 부천시
가평군치매안심센터,치매안심센터,경기도 가평군 가평읍 가화로 155-18,경기도 가평군 가평읍 읍내리 624-1,37.8335569,127.5104515,2018-12,368,"가족카페, 교육실, 단기쉼터",1,5,1,작업치료사1,가평군보건소,가평군수,031-580-2849,,"맞춤형사례관리, 인지강화 및 치매예방교실, 단기쉼터운영, 치매파트너 및 파트너플러스 양성, 치매가족지지프로그램, 인식강화 등",031-580-2849,가평군보건소,2019-09-16,4160000,경기도 가평군
보은군치매안심센터,치매안심센터,충청북도 보은군 보은읍 임업길 22,충청북도 보은군 보은읍 삼산리 172-2,36.4870575,127.7140946,2019-05,,"사무실, 프로그램실, 교육실, 쉼터",1,4,0,3,보은군치매안심센터,김귀태,043-540-5658,,인지재활프로그램,043-540-5658,보은군보건소,2019-05-30,4420000,충청북도 보은군
부산광역시 동래구 치매안심센터,치매안심센터,부산광역시 동래구 명륜로187번길 56,부산광역시 동래구 명륜동 702-54,35.2114120201,129.079853037,2019-06,,,1,9,2,심리상담사(1)+작업치료사(2),부산광역시 동래구보건소,김진홍,051-555-4000,,"치매상담 및 등록관리, 치매조기검진 및 예방관리, 치매환자쉼터 운영, 치매가족 지원, 치매인식개선 및 교육홍보 등",,부산광역시 동래구청,2019-09-10,3300000,부산광역시 동래구
울산광역시 동구보건소 치매안심센터,치매안심센터,울산광역시 동구 봉수로 155,울산광역시 동구 화정동 222,35.505086,129.416646,2018-08,615.32,"진단실(2),쉼터,교육실,음악실,감성실,요리실",1,5,2,작업치료사 3명,울산광역시 동구보건소,신수진,052-209-4060,,"쉼터 운영,인지강화 및 인지재활 프로그램,힐링프로그램,자조모임",052-209-4060,울산광역시 동구보건소,2019-09-10,3710000,울산광역시 동구
임실군치매안심센터,치매안심센터,전라북도 임실군 임실읍 호국로 1680,전라북도 임실군 임실읍 이도리 270-8,35.6127033,127.2873253,2019-04,,"상담실, 검진실, 사무실, 쉼터, 가족카페, 프로그램실, 건강키움실, 심층상담실",1,5,2,4,임실군치매안심센터,김형진,063-640-3373,,· 치매상담 및 등록관리 사업· 치매 인식개선 및 예방 사업· 쉼터 및 가족지원 사업· 치매환자 집중사례관리,063-640-3100,임실군보건의료원,2019-05-01,4760000,전라북도 임실군
서대문구치매지원센터,치매안심센터,서울특별시 서대문구 연희로 290,서울특별시 서대문구 홍은2동 425-3,37.582876,126.936347,2019-12,417.37,"음악치료실, 기억키움학교",01,08,05,07,연세대학교세브란스병원,이병석,1599-1004,2016-01-01,"실버아카데미, 치매가족교육, 기억키움, 노소노소",02-330-1738,서대문구보건소,2019-03-04,3120000,서울특별시 서대문구
충청북도 청주시 청원구 치매안심센터,치매안심센터,충청북도 청주시 청원구 오창읍 과학산업3로 238,충청북도 청주시 청원구 오창읍 각리 639-1,36.71040553,127.430416,2020-12,457.26,"사무실(2),상담,검진실(3),창고(3),쉼터(1),휴게실(1),통신실(1),카페(1)",0,5,2,"작업치료사(2), 임상심리사(1), 행정(2)",청주시 청원보건소,전소연,043-201-3400,,"치매조기검진, 치매치료관리비 및 검진비 지원, 치매예방교육,인지강화교실, 치매안심마을운영, 치매환자맞춤형 사례관리,치매공공후견인, 치매환자쉼터 및 가족지원사업,치매파트너 운영, 돌봄재활사업 등",043-201-4361,청주시 청원보건소,2020-07-02,5710000,충청북도 청주시
달성군치매안심센터,치매안심센터,대구광역시 달성군 옥포읍 비슬로458길 6-2,대구광역시 달성군 옥포읍 기세리 267,35.789593,128.471279,2019-04,548,사무실(1)+상담실(1)+프로그램실(1)+쉼터+카페,1,5,2,작업치료사(2),달성군보건소,달성군보건소장,053-668-3841,,"치매선별검사, 치매예방프로그램, 치매인지재활프로그램 등",053-668-3841,대구광역시 달성군보건소,2020-07-02,3480000,대구광역시 달성군
노원구치매안심센터,치매안심센터,서울특별시 노원구 노해로437 노원구청 5층,서울특별시 노원구 상계동 701-1번지 노원구청 5층,37.654126,127.056798,2009-12,,기억키움학교,1,12,6,작업치료사 6,인제대학교 상계백병원,이동원,02-911-7778,2019-01-01,"치매선별검진, 치매예방 및 등록관리 사업, 치매치료비 지원사업 등",02-2116-4353,서울특별시 노원구청,2020-07-14,3100000,서울특별시 노원구
칠곡군치매안심센터,치매안심센터,경상북도 칠곡군 왜관읍 관문로1길 30,경상북도 칠곡군 왜관읍 석전리 262-1,35.99096877,128.4185105,2017-12,367.99,"카페,쉼터,검진실,노래방",1,5,2,4,칠곡군보건소,문귀정,054-979-8242,,"기억두드림, 기억톡톡교실",054-979-8242,칠곡군보건소,2020-07-13,5220000,경상북도 칠곡군
익산시치매상담센터,치매상담전화센터,전라북도 익산시 선화로 255 (국민생활관 2층),전라북도 익산시 남중동 86-10,35.9453889,126.9586965,2016-04,165,사무실(1)+상담실(2)+프로그램실(1),0,4,2,물리치료사(1),익산시보건소,김재광,063-859-4085,,"치매환자 등록관리, 치매조기검진, 치매치료비 지원,인지증진프로그램, 치매환자 가족지지모임 등",,익산시 보건소,2019-09-18,4680000,전라북도 익산시
서울특별시 중랑구치매안심센터,치매안심센터,서울특별시 중랑구 동일로 608 화성빌딩 2~3층,서울특별시 중랑구 면목동 161-34,37.5845950,127.0801244,2009-11,460,사무실(1)+강당(1)+진료실(1)+인지검사실(4)+상담실(1)+창고(2)+)+프로그램실(3),1,10,4,3,서울북부병원,김정화,02-435-7540,2017-01-01,"치매조기검진, 치매예방등록관리, 지역사회자원강화",02-2094-0852,"서울특별시청, 중랑구보건소",2019-09-18,3060000,서울특별시 중랑구
영주시치매안심센터,치매안심센터,경상북도 영주시 영주로159번길 73,경상북도 영주시 영주동 479-1,36.828742,128.615914,2018-07,1255.89,"1층 : 사무실(1), 프로그램실(2), 상담실(1), 치매쉼터(1), 가족카페(1), 창고(2)2층 : 사무실(1), 다목적실(1), 탈의실(1), 프로그램실(1),센터장실(1), 상담실(1), 심리안정실(1), 직원휴게실(1)3층 : 사무실(1), 전기실(1), 물탱크실(1), 문서고(1)",0,9,4,작업치료사(1),영주시보건소,김인석,054-631-4000,2018-07-16,"치매예방교실, 인지강화교실,치매조기검진, 치매치료비지원,치매조호물품 지원, 치매보듬마을 사업,예쁜치매쉼터 운영, 치매가족자조모임관리, 치매환자사례관리 등",054-634-3100,영주시청,2019-09-17,5090000,경상북도 영주시
장성군치매안심센터,치매안심센터,전라남도 장성군 장성읍 청운11길 13,전라남도 장성군 장성읍 영천리 1475-4 보건소,35.3045428541,126.7824532467,2018-12,33.05,사무실(1),0,5,2,,장성군보건소,조미숙,061-390-8374,,"무료치매검사, 치매극복의 날 캠페인, 치매파트너즈 교육, 치매인지재활교실 운영, 치매치료관리비 지원등",,전라남도 장성군 보건소,2019-06-30,4980000,전라남도 장성군
사하구 치매안심센터,치매안심센터,부산광역시 사하구 까치고개로 50-10,부산광역시 사하구 괴정동 12-31,35.1044834567,129.006333,2019-05,997.87,,0,10,3,4,부산광역시 사하구보건소,나정현,051-220-5987,,"치매조기검진, 치료관리비 지원, 치매 인식 개선을 위한 홍보 캠페인 등",051-220-5986,부산광역시 사하구보건소,2019-09-17,3340000,부산광역시 사하구
영등포구치매안심센터,치매안심센터,"서울특별시 영등포구 당산로 29길 9 3층, 4층","서울특별시 영등포구 당산동3가 407번지 3층, 4층",37.525994,126.893979,2019-12,529.54,"사무실 1개, 검사실 3개, 센터장실 1개, 화장실 각층 2개, 프로그램실 3개, 샤워실 1개",1,11,2,4,가톨릭대학교 여의도성모병원,나혜란,02-1661-7575,2018-12-01,"치매예방 및 인식개선(교육, 홍보)치매조기검진(선별검진, 정밀검진)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지건강 프로그램 운영)치매치료비 및 원인확진검사비 지원(저소득 치매환자)치매지역사회 지원강화(지역사회 인적, 물적 자원 연계)치매통합관리 정보시스템 구축 운영",02-831-0855,영등포구보건소(건강증진과),2019-04-30,3180000,서울특별시 영등포구
구례군 치매안심센터,치매안심센터,전라남도 구례군 구례읍 동편제길 30,전라남도 구례군 구례읍 백련리 576,35.2159325,127.4614696,2017-12,437.04,"사무실, 회의실, 진료실, 검진실, 프로그램실, 가족카페",0,3,2,3,구례군 치매안심센터,전균섭,061-780-2023,,"치매쉼터, 예방교실, 인지강화 교실, 가족교실 운영",061-780-2002,전라남도 구례군 보건의료원,2019-06-26,4870000,전라남도 구례군
동대문구 치매안심센터,치매안심센터,서울특별시 동대문구 홍릉로 81,서울특별시 동대문구 청량리동 203-1,37.58751921,127.0427044,2008-04,567.58,"프로그램실, 상담실, 진료실, 기억키움학교 등",1,10,4,4,경희의료원,김종우,02-957-3062,2018-01-01,"치매조기검진, 치매환자 등록관리, 치매환자 인지재활프로그램, 가족치유 프로그램, 기억키움학교 운영 등",02-2127-5194,서울특별시 동대문구보건소,2020-04-09,3050000,서울특별시 동대문구
충청북도 청주시 서원구 치매안심센터,치매안심센터,"충청북도 청주시 서원구 구룡산로 235, 3층 (수곡동, 위너스빌)",충청북도 청주시 서원구 수곡동 901,36.61602197,127.4713297,2020-10,301.71,"사무실(1), 검진실(1),  상담실(2), 쉼터(1), 가족카페(1)",0,8,2,"작업치료사(3), 임상심리사(2), 행정(2)",청주시 서원보건소,김병성,043-201-3200,,"치매조기검진, 치매치료관리비 및 검진비 지원, 치매예방교육,인지강화교실, 치매안심마을운영, 치매환자맞춤형 사례관리,치매공공후견인, 치매환자쉼터 및 가족지원사업,치매파트너 운영, 돌봄재활사업 등",043-201-3710,청주시 서원보건소,2020-07-02,5710000,충청북도 청주시
충청북도 청주시 흥덕구 치매안심센터,치매안심센터,"충청북도 청주시 흥덕구 비하로12번길 42, 1층~2층",충청북도 청주시 흥덕구 비하동 793,36.62990505,127.4267909,2020-08,500,"사무실(2),상담,검진실(3),창고(2),프로그램실(1),쉼터(1),휴게실(1),통신실(1),카페(1)",0,7,3,"작업치료사(2),임상심리사(1),행정(1),운전(1)",청주시 흥덕보건소,이진숙,043-201-3300,,"치매조기검진, 치매치료관리비 및 검진비 지원, 치매예방교육,인지강화교실, 치매안심마을운영, 치매환자맞춤형 사례관리,치매공공후견인, 치매환자쉼터 및 가족지원사업,치매파트너 운영, 돌봄재활사업 등",043-201-4330,청주시 흥덕보건소,2020-07-02,5710000,충청북도 청주시
구미치매안심센터,치매안심센터,경상북도 구미시 지산11길 8-1,경상북도 구미시 지산동 853-141,36.139463,128.345464,2020-06,354.71,"사무실1,진료실1,검사실1,상담실1,프로그램실2,가족카페1,교육실1,소회의실1,쉼터1",1,13,1,4,구미치매안심센터,구건회,054-480-4881,,"무료치매검사, 환자쉼터, 인지강화교실운영, 치매 극복의 날 기념행사, 치매 홍보서포터즈 운영 등",054-880-3805,경상북도청,2020-06-29,5080000,경상북도 구미시
강북구치매지원센터,치매안심센터,"서울특별시 강북구 삼양로476 스마트빌딩 1층, 치매안심센터 기억키움쉼터","서울특별시 강북구 수유동 322-14, 치매안심센터 기억키움쉼터",37.645880,127.015664,2019-03,85.24,"사무실,프로그램실,검진실",0,1,0,3,강북구치매지원센터,박건우,02-990-9830,2009-07-28,"경도치매군 인지재활 프로그램, 조기검진, 조호물품, 사례관리, 봉사단체운영및지역자원연계 등",02-901-7755,강북구보건소 지역보건과,2019-05-16,3080000,서울특별시 강북구
울주치매안심센터,치매안심센터,울산광역시 울주군 웅촌면 은현작동로 49,울산광역시 울주군 웅촌면 검단리 1091-19,35.456881,129.176837,2018-05,300.78,검진실(1)+상담실(2)+단기쉼터(1)+기억쉼터(1)+가족카페(1)+사무실(1)+교육실(1)+한방실(1)+강당(1)+운동치료실(1),1,10,2,작업치료사(2)+센터장(1)+담당(1),울주군보건소,최우영,052-204-2878,,"치매조기검진 및 진단검사, 치매안심마을 운영, 치매공공후견사업, 치매 상담 및 등록,  단기쉼터 운영, 치매예방프로그램 운영, 치매인식개선홍보 등",052-204-2798,울산광역시 울주군보건소,2019-09-18,6310000,울산광역시
경기도 평택보건소,치매안심센터,"경기도 평택시 중앙1로56번길 25, 2층",경기도 평택시 비전동 631,36.9962526270,127.0891929042,2019-02,657,"사무실,프로그램실,상담실,교육실,가족카페",0,7,0,"팀장1,행정1,작업치료사2,임상심리사1",경기도 평택시청 평택보건소,평택보건소장,031-8024-4406,,"치매조기검진사업, 치매예방교육 및 인지재활, 가족프로그램 운영 등",031-8024-4406,경기도 평택시청 평택보건소,2019-09-25,3910000,경기도 평택시
북구 치매상담센터,치매안심센터,부산광역시 북구 금곡대로 348,부산광역시 북구 화명동 1531-4,35.23929500,129.01441500,2017-12,557,상담실,2,9,2,2,북구보건소,이정화,051-309-7032,,"치매조기검진, 치매치료비지원, 인지재활프로그램 및 가족교육 등",051-309-7032,북구보건소,2020-07-22,3320000,부산광역시 북구
무안군치매안심센터,치매안심센터,전라남도 무안군 무안읍 불무로 38-9,전라남도 무안군 무안읍 교촌리 127-10,34.9883009667,126.4735172,2009-07,431.94,사무실(1)+상담실(1)+검진실(2)+프로그램실(2)+가족카페(1),1,8,3,임상심리사(1)+작업치료사(2),무안군보건소,정수연,061-450-5075,,"치매조기검진, 치매상담 및 등록관리, 치매예방교육, 인지강화교실, 쉼터, 가족교실, 자조모임, 치매인식개선교육",061-450-5014,무안군보건소,2020-07-17,4950000,전라남도 무안군
광주광역시광역치매센터,광역치매센터,"광주광역시 동구 필문대로 365, 조선대학교병원 1관 동편 2층",,35.1385478752,126.9281849011,2016-10,,,1,3,2,,조선대병원,추일한,062-226-2181,,"치매극복의날 기념행사, 한마음 치매극복 걷기행사, 치매예방교육 및 시민건강강좌, 치매관련종사자 교육 등",,광주광역시청,2020-07-21,6290000,광주광역시
전주시 치매안심센터,치매안심센터,전라북도 전주시 완산구 전라감영로 33,전라북도 전주시 완산구 중앙동4가 30-1,35.8156257,127.1431738,2015-12,625,사무실+휴게실+프로그램실 등,2,9,2,8,전주시보건소,김경숙,063-281-6291,,"치매환자 등록관리, 인지재활프로그램,가정방문사례관리 등",063-281-6291,전주시 보건소,2019-08-30,4640000,전라북도 전주시
동해시치매안심센터,치매안심센터,강원도 동해시 발한로 227,강원도 동해시 발한동 17-9,37.549533,129.1081409,2018-08,987.85,사무실검진실쉼터가족카페.교육실치매가족교실,1,3,2,2,동해시보건소,박종태,033-530-2426,,치매선별 및 신경인지검사치매극복의 날 기념행사치매극복선도단체 지정치매예방교실. 치매인지강화교실헤아림가족교실치매파트너양성 및 교육배회감지기사용료지원인식표 및 지문사전등록사례관리치매예방홍보캠페인 등,033-530-2426,동해시청,2019-09-10,4210000,강원도 동해시
광명시치매안심센터,치매안심센터,경기도 광명시 오리로 613 광명시립노인요양센터 1층,경기도 광명시 하안1동 230번지 광명시립노인요양센터 1층,37.455626,126.878301,2013-11,158.38,사무실(1)+프로그램실(1)+협력의사상담실(1)+상담실(1),1,9,2,작업치료사(3)+운동처방사(1)+보건직(1)+물리치료사(1),광명시치매안심센터,이현숙,02-2680-6546,2019-01-01,"치매조기검진,치매극복의날 기념행사,치매서포터즈양성,치매 극복선도도서관지정, 치매인지프로그램운영",02-2680-6546,광명시 보건소,2019-09-09,3900000,경기도 광명시
울산광역시 동구보건소 치매안심센터,치매안심센터,울산광역시 동구 봉수로 155,울산광역시 동구 화정동 222,35.505086,129.416646,2018-08,615.32,"진단실(2),쉼터,교육실,음악실,감성실,요리실",1,5,2,작업치료사 3명,울산광역시 동구보건소,신수진,052-209-4060,,"쉼터 운영,인지강화 및 인지재활 프로그램,힐링프로그램,자조모임",052-209-4060,울산광역시 동구보건소,2019-09-18,6310000,울산광역시
울산광역시남구치매안심센터,치매안심센터,울산광역시 남구 삼산중로 132,울산광역시 남구 삼산동 1538-4,35.54535759,129.3363268,2019-03,997.14,사무실(1)+검진실(1)+상담실(3)+심리안정실(1)+인지체험관(1)+쉼터(1)+교육실(1),1,15,1,"임상심리사 1, 작업치료사 3",남구보건소,박혜경,052-226-2323,,"상담 및 등록관리사업,조기검진사업,쉼터운영사업,가족지원사업,치매인식개선홍보사업",052-226-2451,울산광역시 남구보건소,2019-09-18,6310000,울산광역시
울산광역시 북구치매안심센터,치매안심센터,울산광역시 북구 산업로 1018,울산광역시 북구 연암동 1082,35.583448,129.3607258,2018-09,324,"사무실, 환자쉼터, 가족카페, 검진실, 교육실, 프로그램실 등",2,11,1,4,울산광역시 북구보건소,손정미,052-241-8138,,"치매조기검진 및 치매환자 등록관리, 교육지원",052-289-3450,울산광역시 북구보건소,2019-09-18,6310000,울산광역시
울산중구치매안심센터,치매안심센터,울산광역시 중구 외솔큰길 225 중구보건소 2층(남외동),울산광역시 중구 남외동 603-2 중구보건소 2층,35.5694483,129.3504562,2018-10,259.9,사무실(1)+상담실(2)+교육실(1)+프로그램실(1)+가족카페(1)+검진실(1),0,10,1,작업치료사(2),울산광역시 중구보건소,황병훈,052-290-4366,,"무료치매선별검사, 치매예방 인지건강프로그램, 치매예방 가족교육 등",052-290-4362,울산광역시 중구 보건소,2019-09-18,6310000,울산광역시
순천시치매안심센터,치매안심센터,전라남도 순천시 중앙로 232,전라남도 순천시  석현동 35-7,34.966691,127.4865762,2019-12,,,0,10,2,3,순천시 보건소,보건소장 정기성,061-749-8888,,"인지재활프로그램, 기억력 검사 등",061-749-3101,순천시 보건소,2019-08-28,4820000,전라남도 순천시
영도구치매안심센터,치매안심센터,부산광역시 영도구 태종로 423,부산광역시 영도구 청학동 48-3,35.0912179,129.067935,2017-12,375.42,,1,12,3,3,영도구보건소,박성률,051-419-4935,,치매상담 및 등록치매조기검진사업치매예방교실치매환자쉼터치매가족교실치매치료비지원치매환자조호물품지원치매인식개선사업 등,,부산광역시 영도구청,2020-07-28,3280000,부산광역시 영도구
연수구치매안심센터,치매안심센터,인천광역시 연수구 예술로20번길 15,인천광역시 연수구 선학동 100-2,37.4357471,126.699593,2018-11,395,"사무실3, 교육상담실1, 검진실1, 프로그램실1, 카페1, 어르신사랑방1",0,17,2,"작업치료사2, 의료기술직1, 보건직1",연수구보건소,김용운,032-749-8952,,"무료치매검진, 등록관리, 교육홍보,인지개선프로그램, 가정방문(사례관리), 치매치료비 지원 등",032-749-8952,인천광역시 연수구보건소,2020-07-27,3520000,인천광역시 연수구
여주시치매안심센터,치매안심센터,경기도 여주시 여흥로 160번길 12,,37.2946119,127.6403966,2017-12,758.25,"사무실, 프로그램실, 상담실, 진단검사실,가족카페, 신체활동프로그램실",1,4,2,3,여주시 보건소,함진경,031-887-3601,,"예방프로그램, 쉼터, 치매인식개선사업, 조기검진사업",031-887-3685,경기도 여주시,2020-07-23,5700000,경기도 여주시
북부치매안심센터,치매안심센터,경기도 여주시 대신면 풍양1길 16,,37.3720554908,127.5852432137,2019-07,180,"사무실, 프로그램실, 상담실, 진단검사실",0,1,2,0,여주시 보건소,함진경,031-887-3601,,"예방프로그램, 쉼터, 치매인식개선사업, 조기검진사업",031-887-3496,경기도 여주시,2020-07-23,5700000,경기도 여주시
남부치매안심센터,치매안심센터,경기도 여주시 점동면 청안로 130-6,,37.2057161701,127.6624172990,2019-08,72,"사무실, 프로그램실, 상담실, 진단검사실",0,1,2,0,여주시 보건소,함진경,031-887-3601,,"예방프로그램, 쉼터, 치매인식개선사업, 조기검진사업",031-887-3493,경기도 여주시,2020-07-23,5700000,경기도 여주시
서구치매안심센터,치매안심센터,대구광역시 서구 북비산로 71길 7,대구광역시 서구 비산동 42-107,35.88016031,128.572445,2019-01,942.31,상담실(1)+치매가족카페(1)+교육장(1)+쉼터(1)+가족프로그램실(1)+검진실(1)+사무실(1),1,9,1,임상심리사(1)+작업치료사(1)+보건직(1),대구광역시 서구청,이희숙,053-663-3811,,"치매조기검진, 치매예방프로그램, 쉼터 인지재활프로그램, 치매가족교실 등",053-663-3811,대구광역시 서구청,2020-07-10,3430000,대구광역시 서구
성주군치매안심센터,치매안심센터,경상북도 성주군 성주읍 성밖숲길12,경상북도 성주군 성주읍 경산리 436-1,35.917407,128.2785293,2018-09,333.4,보건소건강증진센터2층,0,2,7,9,성주군보건소,김명순,054-930-8191,,인지강화및치매환자교실 운영 등,054-930-8271,성주군보건소,2020-07-15,5210000,경상북도 성주군
인천광역시 동구 치매안심센터,치매안심센터,인천광역시 동구 송림로 113,인천광역시 동구 송림동 49-13,37.4769037292,126.6471972259,2018-12,429.76,사무실(1)+프로그램실(2)+가족카페(1)+검사실(1)+진료실(1)+상담실(2),2,10,1,물리치료사(1)+작업치료사(1)+임상심리사(1),인천광역시 동구보건소,보건소장,032-772-6307,,○상담 및 등록관리 ○치매조기검진 ○치매예방관리 ○치매환자쉼터운영 ○치매지원서비스 ○치매가족 및 보호자 지원사업 ○치매인식개선 및 교육·홍보 사업 ○치매안심마을 운영 등,032-772-6307,인천광역시 동구보건소,2020-06-23,3500000,인천광역시 동구
포천시치매안심센터,치매안심센터,경기도 포천시 삼육사로 2186번길 11-15,경기도 포천시 선단동 629-1외 1필지,37.85346198,127.1593101190,2020-01,583.56,"사무실+회의실+교육실, 검진실",1,4,1,작업치료사(3),포천시보건소,정연오(보건소장),031-538-4854,,치매검진및 치매인지강화 프로그램,031-538-4854,포천시청,2020-06-30,5600000,경기도 포천시
순창군 치매안심센터,치매안심센터,전라북도 순창군 순창읍 교성로 135,전라북도 순창군 순창읍 교성리 418,35.3671047569,127.1436245424,2017-12,82.64,화장실+회의실,1,2,0,1,순창군 보건의료원,정영곤,063-650-5247,,"찾아가는 경로당 치매예방교실, 치매고위험군 인지증진프로그램, 치매가족지지 프로그램 헤아림, 치매조기검진",063-650-5247,순창군 보건의료원,2020-07-02,4770000,전라북도 순창군
서북구치매안심센터,치매안심센터,충청남도 천안시 서북구 서부8길 29,충청남도 천안시 서북구 성정동 684-1,36.8197764,127.1398813,2012-03,287,"사무실 1, 프로그램실 1, 상담실 1, 검사실 1, 쉼터 1",0,4,3,4,서북구보건소,이현기,041-574-0994,,"치매조기검진, 인지재활, 쉼터, 가족지원사업 등",041-521-5928,충청남도 천안시청,2020-07-06,4490000,충청남도 천안시
동남구치매안심센터,치매안심센터,충청남도 천안시 동남구 버들로 40,충청남도 천안시 동남구 문화동 112-1,36.80718993,127.1514636,2018-11,578,"사무실 1, 프로그램실 1, 상담실 2, 검사실 1,쉼터1,가족카페1",0,7,1,5,동남구보건소,구본순,041-521-3340,,"치매조기검진, 인지재활, 쉼터, 가족지원사업 등",041-521-3340,충청남도 천안시청,2020-07-06,4490000,충청남도 천안시
치매안심센터,치매안심센터,충청남도 서천군 서천읍 사곡길 26,,36.08237203,126.6897168,2017-12,906,,0,5,2,1,서천군보건소,김재연,041-950-6741,,"치매조기검진, 치매환자가족지원",041-950-4055,충청남도 서천군청,2020-07-10,4580000,충청남도 서천군
보성군치매안심센터,치매안심센터,전라남도 보성군 보성읍 갱맹골길 206,전라남도 보성군 보성읍 주봉리 529,34.7664558,127.071271,2017-11,344,"사무실, 카페, 쉼터, 프로그램실, 상담실",2,7,1,4,보성군보건소,박경희,061-850-8695,,"조기검진, 치매등록, 쉼터, 헤아림, 인지강화교실 등",061-853-4000,보성군보건소,2020-07-09,4890000,전라남도 보성군
군위군치매안심센터,치매안심센터,경상북도 군위군 군위읍 군청로 70,경상북도 군위군 군위읍 동부리 676-3,36.229542,128.569951,2020-12,,,0,9,2,3,군위군보건소,김명이,054-380-7414,,"치매환자쉼터, 인지예방프로그램, 사례관리, 예쁜치매쉼터, 치매보듬쉼터, 치매보듬마을",,경상북도 군위군청,2020-07-14,5140000,경상북도 군위군
