사업소명,사업소전화번호,소재지도로명주소,소재지지번주소,위도,경도,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,기타임대농기계보유정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
남부,061-536-7555,전라남도 해남군 현산면 매화길 37-15,전라남도 해남군 현산면 월송리 207,34.411969,126.5832176,109,2,5,10,12,0,0,0,75,061-531-3801,농업기술센터,2020-07-13,4930000,전라남도 해남군
진천군농기계임대사업장,043-539-7571,충청북도 진천군 진천읍 삼덕1길 45-16,충청북도 진천군 진천읍 삼덕리 786-2,36.863517,127.463265,144,69,131,35,43,24,7,2,156,043-539-7571,충청북도 진천군 농업기술센터,2020-06-25,4450000,충청북도 진천군
연평면 농기계임대사업소,032-899-3283,인천광역시 옹진군 연평면 연평로 821번길 37,인천광역시 옹진군 연평면 연평리 493-5,37.65923958,125.698208,12,7,19,2,0,0,1,0,29,032-899-3233,옹진군농업기술센터,2020-07-02,3580000,인천광역시 옹진군
인제군농업기술센터 농업기계임대사업소 인제본소,033-460-2254,강원도 인제군 인제읍 비봉로44번길 105,,38.0588132880,128.1659613,84,7,59,25,19,0,9,6,탈망기(2)+종자발아기(2)+농용굴삭기(2)+인력파종기(21)+인력비닐피복기(6)+동력이식기(1)+동력살분무기(4)+동력분무기(4)+자주식베일러(2)+동력예취기(2)+승용예취기(2)+농용로우더(1)+콩예취기(7)+콩정선기(3)+오일여과장치(1)+잡곡콤바인(1)+콩콤바인(1)+풍구(3)+목재파쇄기(3)+농용파이프밴딩성형기(1)+농용동력운반차(1)+육묘파종기(1)+승용관리기(1)+퇴비살포기 차량용(2)+퇴비살포기 자주식(1_,033-460-2254,강원도 인제군청,2020-06-19,4330000,강원도 인제군
인제군농업기술센터 농업기계임대사업소 기린지소,033-463-4191,강원도 인제군 기린면 창암길 15-8,,37.94554815,128.3122705,31,5,43,9,11,0,3,2,종자발아기(2)+농용굴삭기(2)+인력파종기(17)+인력비닐피복기(4)+동력이식기(2)+퇴비살포기 자주식(2)+퇴비살포기 차량용(2)+동력살분무기(4)+동력분무기(2)+승용예취기(1)+콩예취기(3)+콩정선기(2)+잡곡콤바인(1)+풍구(3)+목재파쇄기(1)+농용동력운반차(1)+농용파이프벤팅성형기(1)+승용관리기(1)+육묘용파종기(1)+휴립피복기(1),033-463-4191,강원도 인제군청,2020-06-19,4330000,강원도 인제군
무안군농업기술센터농기계임대사업소-일로분소,061-281-8990,전라남도 무안군 일로읍 백련로 112,전라남도 무안군 일로읍 용산리 1363,34.8524040351,126.5077777269,55,0,17,5,15,0,0,1,"곡물적재함(1), 농업용굴삭기(2), 농업트럭퇴비살포기(1), 농업파이프벤딩기(2), 동력배토기(6), 동력살분무기(9), 전엽기(3), 동력예취기(4), 양파정식기(2), 동력이식기(1), 동력제초기(2), 동력퇴비살포기(1),  동력파종기(2), 동력피복기(1), 마늘선별기(1), 마늘쪽분리기(1), 방제기(4), 볍씨발아기(5), 양파파종기(2), 육묘용파종기(3), 인력피복기(1), 인력파종기(10), 자주형콩탈곡기(1), 콩예취기(1), 콩적심기(2), 탈망기(2), 풍구(2), 휴대용전동가위(1)",061-281-8990,전라남도 무안군 농업기술센터,2020-07-09,4950000,전라남도 무안군
무안군농업기술센터농기계임대사업소-해제분소,061-452-4020,전라남도 무안군 해제면 양간로 7,전라남도 무안군 해제면 신정리 124-1,35.1110936535,126.2907134533,68,0,19,11,12,0,0,1,"곡물적재함(1), 농업용굴삭기(2), 농업트럭퇴비살포기(2), 농업파이프벤딩기(2), 동력배토기(2), 동력살분무기(14), 전엽기(3), 동력예취기(4), 양파정식기(3), 동력제초기(2), 동력퇴비살포기(1),  동력파종기(1), 동력피복기(1), 마늘선별기(1), 마늘쪽분리기(1), 방제기(4), 볍씨발아기(3), 양파파종기(3), 육묘용파종기(2), 인력피복기(1), 인력파종기(10), 자주형콩탈곡기(1), 콩예취기(2), 콩적심기(2), 탈망기(1), 풍구(2), 휴대용전동가위(1)",061-452-4020,전라남도 무안군 농업기술센터,2020-07-09,4950000,전라남도 무안군
무안군농업기술센터농기계임대사업소-운남분소,061-452-1812,전라남도 무안군 운남면 운해로 578-7,전라남도 무안군 운남면 연리 403,34.96026245,126.3408909,53,0,15,6,5,0,0,1,"농업용굴삭기(2), 농업트럭퇴비살포기(2), 농업파이프벤딩기(1), 동력배토기(2), 동력살분무기(7), 전엽기(3), 동력예취기(2), 양파정식기(2), 동력제초기(2),동력피복기(1), 마늘선별기(1), 마늘쪽분리기(1), 방제기(4), 볍씨발아기(5), 승용양파정식기(1), 승용예취기(1), 양파파종기(1), 육묘용파종기(3), 인력피복기(1), 인력파종기(6), 자주형콩탈곡기(1), 콩예취기(1), 콩적심기(2), 탈망기(2), 풍구(2)",061-452-1812,전라남도 무안군 농업기술센터,2020-07-09,4950000,전라남도 무안군
무안군농업기술센터농기계임대사업소-무안본소,061-450-4004,전라남도 무안군 무안읍 무안로 339,전라남도 무안군 무안읍 성남리 582-1,34.9776780568,126.4658791129,116,0,22,17,17,0,0,1,"곡물적재함(5), 농업용굴삭기(2), 농업진압기(2), 농업트럭퇴비살포기(4), 농업파이프벤딩기(2), 동력배토기(6), 동력살분무기(16), 전엽기(9), 동력예취기(4), 양파정식기(9), 동력이식기(2), 동력제초기(6), 동력퇴비살포기(1), 마늘파종기(5), 동력파종기(2), 동력피복기(1), 마늘선별기(2), 마늘쪽분리기(2), 방제기(7), 볍씨발아기(7), 승용양파정식기(2), 승용예취기(3), 양파파종기(9), 육묘용파종기(4), 인력피복기(1), 인력파종기(15), 자주형콩탈곡기(2), 콩예취기(4), 콩적심기(3), 탈망기(2), 풍구(3), 휴대용전동가위(3)",061-450-4004,전라남도 무안군 농업기술센터,2020-07-09,4950000,전라남도 무안군
논산시농업기술센터,041-746-8361,충청남도 논산시 부적면 백일헌로 3,충청남도 논산시 부적면 덕평리 40-8,36.2138695,127.1417982,168,15,76,23,17,7,1,1,인력파종기(31)+동력배토기(23)+승용관리기및승용관리기부착기(16)+과수인공교배기(15)+휴대용전동가위(9)+농업용지주목설치기(7)+농용굴삭기(5)+동력중경제초기(4)+농용파이프밴딩성형기(3)+동력예취기(3)+동력이식기(3)+동력파쇄기(3)+과실수확기(2)+농용블로워(2)+동력구굴기(2)+동력제초기(2)+드론(2)+마늘쪽분리기(2)+비닐하우스피복기(2)+육묘파종기(2)+ss기(1)+동력수확기(1)+스키로더(1)+토양소독기(1),041-746-8361,논산시농업기술센터,2020-06-24,4540000,충청남도 논산시
이천시 농기계임대사업소,031-644-4139,경기도 이천시 모가면 사실로720,경기도 이천시 모가면 어농리 615-7,37.17591657,127.4402069,98,12,21,10,13,2,0,0,50,031-644-4139,경기도 이천시청,2020-07-10,4070000,경기도 이천시
이천시 농기계임대사업소(남부분소),031-645-3499,경기도 이천시 장호원읍 서동대로8759번길 97-80,경기도 이천시 장호원읍 진암리 328-5,37.12032373,127.6112318,25,4,14,5,10,2,0,0,44,031-645-3499,경기도 이천시청,2020-07-10,4070000,경기도 이천시
농기계임대사업소(본소),063-430-8791,전라북도 진안군 진안읍 진무로 702-30,전라북도 진안군 진안읍 반월리 1032-1,35.7628515827,127.4372467846,149,8,11,23,36,0,2,10,129,063-430-8647,전라북도 진안군농업기술센터,2020-06-22,4730000,전라북도 진안군
북부권농기계임대사업소,063-430-8488,전라북도 진안군 정천면 진용로 1107,전라북도 진안군 정천면 봉학리 321,35.8736664671,127.4420493833,56,5,3,11,8,0,0,1,21,063-430-8647,전라북도 진안군농업기술센터,2020-06-22,4730000,전라북도 진안군
남부권농기계임대사업소,063-430-8468,전라북도 진안군 마령면 임진로 2132,전라북도 진안군 마령면 평지리 1356-1,35.7357806918,127.3685058702,34,3,3,6,4,0,0,1,23,063-430-8647,전라북도 진안군농업기술센터,2020-06-22,4730000,전라북도 진안군
동부권농기계임대사업소,063-430-8428,전라북도 진안군 동향면 창촌길 40,전라북도 진안군 동향면 대량리 184-1,35.8354010771,127.5708527056,18,3,2,3,3,0,0,1,12,063-430-8647,전라북도 진안군농업기술센터,2020-06-22,4730000,전라북도 진안군
충주시농업기술센터 농기계임대사업장(본소),043-850-3236,충청북도 충주시 동량면 충원대로1350,충청북도 충주시 동량면 대전리 1667,37.0468328861,127.9303297862,16,13,30,12,31,4,10,4,볍씨발아기(9)+파종기(38)+잔가지파쇄기(14)+분무기(8)+살포기(23)+피트모스배합기(1)+예초기(15)+밴딩성형기(3)+전동가위(7)+사다리(12)+굴삭기(6),043-850-3233,충청북도 충주시청,2020-06-30,4390000,충청북도 충주시
충주시농업기술센터 제2농기계임대사업장(대소원),043-850-3238,충청북도 충주시 대소원면 화곡1길30-29,충청북도 충주시 대소원면 영평리 479-69,36.97762428,127.8062798,9,12,23,11,29,1,6,3,볍씨발아기(7)+파종기(20)+잔가지파쇄기(12)+분무기(4)+살포기(20)+예초기(10)+밴딩성형기(2)+전동가위(5)+사다리(7)+굴삭기(4)+결속기(2)+디스크모아(2)+하베스타(1)+건초모으기(2)+랩피복기(4),043-850-3233,충청북도 충주시청,2020-06-30,4390000,충청북도 충주시
김해시농기계임대사업소,055-330-4319,경상남도 김해시 전하로198번길 102(전하동),경상남도 김해시 전하동 900,35.2134571409,128.8703800298,182,13,37,22,20,18,0,0,103,055-330-4933,경상남도 김해시농업기술센터,2020-06-30,5350000,경상남도 김해시
남양주시농업기계은행,031-590-8984,경기도 남양주시 진건읍 사릉로 234-46,경기도 남양주시 진건읍 사능리 92-1,37.64899945,127.1970232,53,1,25,0,11,5,11,11,46,031-590-2572,남양주시농업기술센터,2020-07-09,3990000,경기도 남양주시
화성시농기계임대사업소,031-5189-3612,경기도 화성시 팔탄면 버들로 1613,경기도 화성시 팔탄면 매곡리 172-9번지,37.11451812,126.8795472562,80,21,64,28,85,5,5,2,204,031-5189-3612,화성시농업기술센터,2020-05-29,5530000,경기도 화성시
합천군 중부권 농기계대여은행,055-930-3666,경상남도 합천군 용주면 고품부흥1길 7,경상남도 합천군 용주면 고품리 910-302,35.5521022707,128.1124195241,130,7,20,25,21,18,0,10,112,055-930-3666,경상남도 합천군청,2020-06-30,5480000,경상남도 합천군
창녕시 임대사업소(남부권),055-530-6192,경상남도 창녕군 도천면 신제로 357-3,경상남도 창녕군 도천면 일리 666,,,152,14,12,40,13,10,0,1,31,055-530-6184,창녕군농업기술센터,2019-09-06,6480000,경상남도
합천군 동부권 농기계대여은행,055-930-4184,경상남도 합천군 적중면 황강옥전로 1889,경상남도 합천군 적중면 부수리 403,35.5564638227,128.2870688303,89,10,18,16,9,4,0,8,71,055-930-4194,경상남도 합천군청,2020-06-30,5480000,경상남도 합천군
합천군 남부권 농기계대여은행,055-930-4187,경상남도 합천군 삼가면 서부로 170,경상남도 합천군 삼가면 하판리 1314-3,35.4157537544,128.1056802670,66,10,17,17,10,4,0,8,64,055-930-4187,경상남도 합천군청,2020-06-30,5480000,경상남도 합천군
합천군 북부권 농기계대여은행,055-930-4190,경상남도 합천군 야로면 미숭산로 21,경상남도 합천군 야로면 야로리 225-5,35.7091524024,128.1726798739,62,10,13,13,10,3,0,9,64,055-930-4190,경상남도 합천군청,2020-06-30,5480000,경상남도 합천군
북도면 농기계임대사업소,032-899-3281,인천광역시 옹진군 북도면 시도로 86번길 78,인천광역시 옹진군 북도면 시도리 277-7,37.5355653,126.4316112,41,10,36,9,5,0,0,0,66,032-899-3233,옹진군농업기술센터,2020-07-02,3580000,인천광역시 옹진군
북도면 농기계임대사업소 장봉분소,032-899-3282,인천광역시 옹진군 북도면 장봉로 694번길 16,인천광역시 옹진군 북도면 장봉리 546-3,37.5443257,126.333722,25,6,17,5,2,0,0,0,24,032-899-3233,옹진군농업기술센터,2020-07-02,3580000,인천광역시 옹진군
백령면 농기계임대사업소,032-899-2667,인천광역시 옹진군 백령면 화동로 264,인천광역시 옹진군 백령면 남포리 1774-7,37.94553458,124.6740812,118,21,129,21,11,5,2,3,74,032-899-3233,옹진군농업기술센터,2020-07-02,3580000,인천광역시 옹진군
대청면 농기계임대사업소,032-899-3284,인천광역시 옹진군 대청면 대청로 186,인천광역시 옹진군 대청면 대청리 454-9,37.83564799,124.7074673,14,7,17,3,2,0,1,0,28,032-899-3233,옹진군농업기술센터,2020-07-02,3580000,인천광역시 옹진군
덕적면 농기계임대사업소,032-899-3285,인천광역시 옹진군 덕적면 덕적남로 867번길 70,인천광역시 옹진군 덕적면 서포리 868,37.2390537,126.100508,47,15,26,7,6,2,1,0,26,032-899-3233,옹진군농업기술센터,2020-07-02,3580000,인천광역시 옹진군
영흥면 농기계임대사업소,032-899-3288,인천광역시 옹진군 영흥면 영흥남로 435번길 29,인천광역시 옹진군 영흥면 외리 728-2,37.2531738,126.460277,64,13,30,9,7,0,0,0,101,032-899-3233,옹진군농업기술센터,2020-07-02,3580000,인천광역시 옹진군
평창군농업기술센터 평창본소,033-330-1347,강원도 평창군 평창읍 여만길 46,강원도 평창군 평창읍 여만리 357-6,37.3780667783,128.3955482490,169,7,43,27,62,22,12,6,258,033-330-1377,평창군농업기술센터,2020-07-07,4280000,강원도 평창군
평창군농업기술센터 용평분소,033-330-2061,강원도 평창군 용평면 새터마을길 4-21,강원도 평창군 용평면 백옥포리 181-5,37.58643182,128.406524,76,3,15,16,17,14,1,3,72,033-330-1377,평창군농업기술센터,2020-07-07,4280000,강원도 평창군
평창군농업기술센터 진부분소,033-335-0091,강원도 평창군 진부면 오대천로 1970-6,강원도 평창군 진부면 하진부리 351,37.6299178356,128.5543643854,49,4,15,15,27,7,0,0,50,033-330-1377,평창군농업기술센터,2020-07-07,4280000,강원도 평창군
농업기계임대사업소 본소,041-669-5951,충청남도 서산시 인지면 무학재1길 99,충청남도 서산시 인지면 산동리 565-1,36.72069284,126.4127382,132,45,16,41,59,1,0,0,93,041-662-5959,충청남도 서산시 농업기술센터,2020-06-24,4530000,충청남도 서산시
농업기계임대사업소 동부분소,041-688-7766,충청남도 서산시 운산면 홍안벌로 501,충청남도 서산시 운산면 거성리 340-19,36.758273,126.533151,85,30,12,26,40,0,0,0,66,041-662-5959,충청남도 서산시 농업기술센터,2020-06-24,4530000,충청남도 서산시
농업기계임대사업소 중부분소,041-662-3315,충청남도 서산시 성연면 생동사동길 21,충청남도 서산시 성연면 오사리 386-1,36.83451834,126.4392442,77,27,11,26,37,0,0,0,66,041-662-5959,충청남도 서산시 농업기술센터,2020-06-24,4530000,충청남도 서산시
농업기계임대사업소 북부분소,041-681-1006,충청남도 서산시 대산읍 대산1로 70,충청남도 서산시 대산읍 대산리 91-24,36.93867827,126.438036,73,26,12,22,44,0,0,0,61,041-662-5959,충청남도 서산시 농업기술센터,2020-06-24,4530000,충청남도 서산시
경주시 농업기술센터 본소,054-779-8737,경상북도 경주시 서악2길 14(서악동),경상북도 경주시 서악동 1153,35.82859141,129.1894005,133,17,57,13,25,0,0,0,153,054-760-2248,경상북도 경주시청,2020-07-03,5050000,경상북도 경주시
경주시 농업기술센터 동부사업소,054-741-8737,경상북도 경주시 양북면 감은로 288-11,경상북도 경주시 양북면 어일리 430-17,35.77053088,129.4487423,56,7,24,2,13,0,0,0,72,054-760-2248,경상북도 경주시청,2020-07-03,5050000,경상북도 경주시
경주시 농업기술센터 북부사업소,054-763-6461,경상북도 경주시 안강읍 안현로 1294-42,경상북도 경주시 안강읍 갑산리 927,35.9721482,129.2355127,64,12,38,5,15,2,0,1,85,054-760-2248,경상북도 경주시청,2020-07-03,5050000,경상북도 경주시
본소,054-480-4288,경상북도 구미시 선산읍 김선로 947,경상북도 구미시 선산읍 이문리 857,36.2331954827,128.2896402375,157,11,38,53,51,24,2,0,81,054-480-4289,구미농기계임대사업소,2020-07-01,5080000,경상북도 구미시
분소,054-480-4267,경상북도 구미시 산동면 강동로 851-21,경상북도 구미시 산동면 인덕리 520,36.16331043,128.4538769,40,6,11,12,19,4,0,0,38,054-480-4268,산동분소,2020-07-01,5080000,경상북도 구미시
양평군농업기술센터 본소,031-770-3592,경기도 양평군 양평읍 농업기술센터길 59,경기도 양평군 양평읍 공흥리 1-2,37.5103986922,127.512401,94,32,82,18,25,1,10,0,자주식옥수수베일러(3)+농용굴삭기(5)+농용로우더(3)+동력살분무기(3)+승용동력제초기(5)+보행동력중경제초기(5)+자주식동력퇴비살포기(5)+마늘쪽분리기(1)+마늘선별기(1)+주행형동력분무기(5)+동력예취기(4)+휴대용전동가위(3)+발전기(1)+제설기(1)+가금류실청소기(1)+자주식목재파쇄기(3)+대두탈피기(3)+동력이식기(7)+파이프성형밴딩기(1)+보행직파파종기(8)+인력비닐피복기(2)+육묘전엽기(2)+논.밭승용방제기(5)+승용관리기및작업기(4/4)+콩콤바인(5)+엔진부착형덩굴파쇄기(3)+중경제초기(3)+포트전용파종기(1),031-770-3592,경기도 양평군청,2020-03-06,4170000,경기도 양평군
영천시농기계임대사업소,054-339-7228,경상북도 영천시 청통면 호당1길 66-17,경상북도 영천시 청통면 호당리 436,35.99360387,128.8887939,146,47,119,31,61,3,0,0,승용제초기(54)+동력운반차(14)+농용굴삭기(23)+기타(253),054-339-7226,경상북도 영천시청,2020-06-26,5100000,경상북도 영천시
농업기계 임대사업장,054-974-0855,경상북도 칠곡군 약목면 동덕로 146,경상북도 칠곡군 약목면 동안리 831,36.0397544979,128.3822951708,186,42,29,23,33,7,17,2,161,054-979-8302,칠곡군농업기술센터,2020-06-30,5220000,경상북도 칠곡군
함양군농기계임대사업소(남부권),055-960-5570,경상남도 함양군 휴천면 천왕봉로 2426,경상남도 함양군 휴천면 남호리 372,35.4384097853,127.7653347008,17,10,7,8,3,1,0,0,22,055-960-5295,경상남도 함양군청,2020-06-29,5460000,경상남도 함양군
평택시농기계임대사업장,031-8024-4581,경기도 평택시 오성면 청오로 33-58,경기도 평택시 오성면 숙성리 95-3,37.01460543,126.9811584,108,15,39,38,31,0,0,0,90,031-8024-4581,평택시 농업기술센터,2020-04-25,3910000,경기도 평택시
함양군농기계임대사업소(북부권),055-960-5297,경상남도 함양군 안의면 거함대로 1712,경상남도 함양군 안의면 교북리 37,35.6341859742,127.8152199024,29,11,17,8,5,1,0,0,37,055-960-5295,경상남도 함양군청,2020-06-29,5460000,경상남도 함양군
함양군농기계임대사업소(중부권),055-960-5299,경상남도 함양군 함양읍 고운로 539,경상남도 함양군 함양읍 백천리 405-1,35.5256306496,127.7791449770,38,15,22,10,10,1,0,1,41,055-960-5295,경상남도 함양군청,2020-06-29,5460000,경상남도 함양군
대전광역시 농업기술센터,042-270-6932,대전광역시 유성구 교촌대정로 97(교촌동),대전광역시 유성구 교촌동 568-1,36.3078903,127.306361,19,12,21,8,18,0,0,0,농업용리프트(2)+농용굴삭기(7)+파이프정형기(2)+농용로더(2)+육묘상자세척기(1)+잔가지파쇄기(3)+그래플(1)+콩예취기(1)+퇴비살포기(2)+비닐피복기(12)+동력제초기(3)+전동가위(4)+동력이식기(1)+인력파종기(6)+약품분사기(2)+상토혼합기(1)+볏집절단기(1)+줄기절단기(1),042-270-6932,대전광역시 농업기술센터,2020-06-30,6300000,대전광역시
기장군농업기술센터,051-709-5315,부산광역시 기장군 기장읍 반송로 1370-22,부산광역시 기장군 기장읍 만화리 333-28,35.25259076,129.195309,70,8,28,8,11,0,2,2,101,051-709-5307,기장군농업기술센터,2020-01-01,3400000,부산광역시 기장군
고령군농업기술센터,054-956-1234,경상북도 고령군 대가야읍 일량본길 139,경상북도 고령군 대가야읍 내곡리 772,35.695394,128.2818470973,287,33,69,0,27,13,18,0,249,054-956-1234,경상북도고령군청,2020-06-15,5200000,경상북도 고령군
고양시 농업기계 임대사업소,031-8075-4284,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10,37.64977718,126.8700851,53,0,12,2,2,0,2,1,광역방제기(1)+SS분무기(1)+축산세트장비(1)+인력파종기(6)+적재사다리(6),031-8075-4284,경기도 고양시청,2020-06-24,3940000,경기도 고양시
농기계임대사업소,055-940-8218,경상남도 거창군 거창읍 거함대로3322,경상남도 거창군 거창읍 대평리1359-19,35.6778807,127.922728,74,18,96,41,23,17,13,2,145,055-940-8211,경상남도 거창군청,2019-08-30,5470000,경상남도 거창군
북부임대사업소,055-940-7396,경상남도 거창군 주상면 당대고개길86,경상남도 거창군 주상면 도평리462-3,35.7566876182,127.91684452,48,10,56,13,12,6,4,0,60,055-940-7396,경상남도 거창군청,2019-08-30,5470000,경상남도 거창군
수승대임대사업소,055-940-7596,경상남도 거창군 위천면 송계로 326-31,경상남도 거창군 위천면 장기리 269-9,35.7511513543,127.835033727,30,7,44,12,13,3,2,0,37,055-940-7596,경상남도 거창군청,2019-08-30,5470000,경상남도 거창군
신원임대사업소,055-942-8611,경상남도 거창군 신원면 신차로 3090,경상남도 거창군 신원면 과정리410-4,35.5699302,127.925894,3,4,13,4,4,0,0,0,2,055-942-8611,경상남도 거창군청,2019-08-30,5470000,경상남도 거창군
감물농기계임대사업소,043-833-2763,충청북도 괴산군 감물면 감물로이담4길 5,,36.8641699906,127.8660556377,43,11,17,5,23,4,0,0,41,043-833-2763,괴산군 농업기술센터,2020-06-24,4460000,충청북도 괴산군
청천농기계임대사업소,043-832-0981,충청북도 괴산군 청천면 금평진등2길 13-15,,36.6779849499,127.7642416267,50,15,28,10,18,2,0,0,34,043-832-0981,괴산군 농업기술센터,2020-06-24,4460000,충청북도 괴산군
사리농기계임대사업소,043-836-2763,충청북도 괴산군 사리면 사리로사담1길 5-1,,36.8189494276,127.6489326847,58,12,22,14,18,1,0,0,40,043-836-2769,괴산군 농업기술센터,2020-06-24,4460000,충청북도 괴산군
괴산농기계임대사업소,043-830-2738,충청북도 괴산군 괴산읍 임꺽정로 169,,36.8156391394,127.7783079381,68,10,24,11,18,4,0,0,42,043-830-2738,괴산군 농업기술센터,2020-06-24,4460000,충청북도 괴산군
연풍농기계임대사업소,043-830-4551,충청북도 괴산군 연풍면 연풍로배상길 101,,36.7668071925,127.9897940475,34,0,12,4,6,2,0,0,21,043-833-4551,괴산군 농업기술센터,2020-06-24,4460000,충청북도 괴산군
장성군농업기술센터농기계임대사업소,061-390-8511,전라남도 장성군 장성읍 단풍로 220,전라남도 장성군 장성읍 단풍로 220,35.3207176204,126.8020468545,88,15,75,16,22,4,0,0,탈망기1+벼직파기2+동력배토기3+심경플라우쟁기1+파이프밴딩성형기4+관리기전용배토기4+풍구1+진압기1+고소작업차3+과실수확기5+석회유황합제제조기3+과수인공교배기8+꿀벌응애훈증기1+딸기고설배지파쇄기3+농용고압세척기5,061-390-8511,전라남도 장성군 농업기술센터,2020-06-17,4980000,전라남도 장성군
장성군농업기술센터농기계임대사업소 서부분소,061-390-7191,전라남도 장성군 삼계면 영장로 1620-82,전라남도 장성군 삼계면 사창리 427-1,35.25686685,126.659414,42,11,26,9,19,2,0,0,탈망기1+동력배토기2+잔디기계및수거통7+심경플라우쟁기1+파이프밴딩성형기1+풍구1+진압기1+고소작업차2+석회유황합제제기2+과수인공교배기5+농용고압세척기5,061-390-7191,전라남도 장성군 농업기술센터,2020-06-17,4980000,전라남도 장성군
장성군농업기술센터농기계임대사업소 북부분소,061-390-7195,전라남도 장성군 북이면 방장로 950-10,전라남도 장성군 북이면 사거리 787-32,35.4306236229,126.8054695894,26,8,19,7,11,2,0,0,고소작업차1+농용고압세척기2,061-390-7195,전라남도 장성군 농업기술센터,2020-06-17,4980000,전라남도 장성군
남해군농기계 임대사업소,055-860-8969,경상남도 남해군 이동면 남해대로 2465-9,경상남도 남해군 이동면 다정리 953,34.81729267,127.9216718,77,23,33,7,8,6,2,3,109,055-860-8969,남해군농업기술센터,2020-06-22,5430000,경상남도 남해군
동남권역 농기계 임대사업소,055-860-3569,경상남도 남해군 삼동면 동부대로 1740-20,경상남도 남해군 삼동면 금송리 706-10,34.8309442840,128.0122260709,15,4,12,6,3,3,1,0,41,055-860-3569,남해군농업기술센터,2020-06-22,5430000,경상남도 남해군
북부권역 농기계 임대사업소,055-860-3568,경상남도 남해군 고현면 남해대로 3264-55,,34.877947,127.892599,25,4,19,3,2,3,1,0,50,055-860-3568,남해군농업기술센터,2020-06-22,5430000,경상남도 남해군
상서농기계임대사업소,063-580-3981,전라북도 부안군 상서면 내변산로 1840-5,전라북도 부안군 상서면 통정리 380,35.7095182,126.6592985251,115,23,80,55,39,28,1,0,98,063-580-3822,부안군농업기술센터,2020-06-18,4790000,전라북도 부안군
보안분소농기계임대사업소,063-580-3156,전라북도 부안군 보안면 와동안길 21-16,전라북도 부안군 보안면 영전리 390-4,35.61273529,126.6715591,70,14,73,32,35,32,1,0,43,063-580-3822,부안군농업기술센터,2020-06-18,4790000,전라북도 부안군
청양군농업기술센터농기계임대사업소,041-940-4744,충청남도 청양군 청양읍 구봉로 1026-84,충청남도 청양군 청양읍 정좌리 455,36.4228942862,126.7796518828,64,20,32,28,47,2,3,4,147,041-940-4744,충청남도 청양군청,2020-05-26,4590000,충청남도 청양군
청양군농업기술센터농기계임대사업소(동부지소),041-940-4747,충청남도 청양군 정산면 효자길 62,충청남도 청양군 정산면 서정리 221,36.40861994,126.9463166,62,17,30,26,45,2,3,2,138,041-940-4747,충청남도 청양군청,2020-05-26,4590000,충청남도 청양군
하동군남부권농업기계임대사업소,055-883-2686,경상남도 하동군 고전면 죽전길 9,경상남도 하동군 고하리 154-1,,,1,4,6,6,2,2,0,0,,055-880-2696,경상남도 하동군청,2019-06-16,5440000,경상남도 하동군
김포시농기계임대사업장,031-980-5066,경기도 김포시 통진읍 하성로 58-155,경기도 김포시 통진읍 수참리 373,37.6830091,126.6407727,109,10,19,10,38,7,6,0,111,031-980-5066,김포시 농업기술센터,2020-05-03,4090000,경기도 김포시
여수시농기계임대사업소,061-659-4466,전라남도 여수시 주동1길 32,전라남도 여수시 주삼동 812-2,34.7881842699,127.6532869,5,0,18,7,5,4,6,2,쇄토기(11)+원판쟁기(3)+논두렁조성기(3)+배토기(2)+정지기(4)+심토파쇄기(1)+포트파종기(1)+동력제초기(4)+제초기(1)+동력분무기(1)+비닐피복기(2)+고구마제초기(3)+범용콤바인(1)+랩피복기(1)+스키드로더(1)+집초기(1)+반전집초기(1)+모우어(1)+퇴비살포기(1)+자동전동가위(3)+전동핸드톱(1)+파이프밴딩기(2)+잔가지파쇄기(1),061-659-4466,전라남도 여수시농업기술센터,2020-05-20,4810000,전라남도 여수시
농기계임대사업소 본소,043-420-3428,충청북도 단양군 단양읍 중앙1로 20,충청북도 단양군 단양읍 별곡리 310,36.9852067,128.3667028,37,28,42,26,13,8,2,5,80,043-420-3428,충청북도 단양군 농업기술센터,2020-03-31,4480000,충청북도 단양군
농기계임대사업소 북부지소,043-420-3416,충청북도 단양군 가곡면 남한강로 1093,충청북도 단양군 가곡면 향산리 552,37.06077618,128.4203657,20,33,29,24,20,9,1,3,43,043-420-3416,충청북도 단양군 농업기술센터,2020-03-31,4480000,충청북도 단양군
농기계임대사업소 남부지소,043-420-3436,충청북도 단양군 단성면 월악로 4541,충청북도 단양군 단성면 중방리 414,36.93560724,128.313713,15,13,22,4,9,4,0,0,41,043-420-3436,충청북도 단양군 농업기술센터,2020-03-31,4480000,충청북도 단양군
파주시농기계임대사업소 본소,031-940-4505,경기도 파주시 통일로 620번길 35,경기도 파주시 월롱면 영태리 379-2,37.7651558246,126.796222674,58,4,21,17,22,0,0,0,36,031-940-4918,파주시농업기술센터,2019-03-08,4060000,경기도 파주시
