교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
화성시 교통약자이동지원센터,경기도 화성시 향남읍 향남로 470,경기도 화성시 향남읍 도이리 산31-6번지,37.13752921,126.9242552922,58,슬로프차량,58,0,1588-0677,https://www.hsnarae.or.kr,화성나래 앱,06:00,22:00,09:00,18:00,00:00,24:00,00:00,24:00,이용일 전일 08:00부터 예약가능,"본인확인 요구 거부, 허위 신청, 승차 지연(10분), 이용신청 취소, 원활한 운영저해 등 : 월 3회 누적 위반 시 7일간 이용 제한 / 상담원, 운전원에게 욕설, 폭언 및 폭행, 성희롱 등 : 1개월 내 이용 제한",화성시 전역,"서울, 인천, 경기(단, 출발지는 화성시 관내로 함)","장애정도가 심한 보행상 장애인, 일시적인 보행상 장애로 대중교통 이용이 어렵다는 진단서를 제출한 사람","기본 1,200원(10km이내), 추가 100원/5km",화성도시공사,1588-0677,2020-06-01,5530000,경기도 화성시
한국교통장애인협회 청도군지회,경상북도 청도군 청도읍 월곡2길 15,경상북도 청도군 청도읍 월곡리 300-12,35.62840732,128.7591562,3,슬로프형(카니발),3,0,1899-7770,http://www.brmcall.co.kr/,,09:00,18:00,00:00,00:00,08:00,20:00,08:00,20:00,"사전 및 당일 가능, 주말운행신청은 평일사전예약, 일요일 미운행",,관내전역,경북,"중증장애인,고령자중거동불편,임산부","2km까지 1,200원/2km초과 10km까지:1km당300원/10km초과:1km당100원",청도군 새마을괴,054-370-6252,2020-06-30,5190000,경상북도 청도군
함안군교통약자콜택시(경남지체장애인연합회 함안군지회),경상남도 함안군 가야읍 중앙남길 70,경상남도 함안군 가야읍 말산리 185-1,35.27505859,128.4105797,6,그랜드스타렉스,3,3,1566-4488,http://www.15664488.co.kr,,09:00,23:59,09:00,23:59,09:00,23:59,09:00,17:00,0월,,경상남도,경상남도,심한장애인 중 보행상장애인 + 일시적으로 대중교통 이용 어려운 사람,"시외버스요금의 1.5배+관내는 2,200원",함안군,055-580-2393,2020-07-01,5400000,경상남도 함안군
동두천시 교통약자(특별교통수단) 이동지원센터(동두천모범운전자회),경기도 동두천시 어등로58,경기도 동두천시 생연동 70-2,37.8986422927,127.0691003718,14,카니발+스타렉스+봉고3,13,1,031-862-1091,없음,,08:00,18:00,08:00,18:00,00:00,23:59,07:00,18:00,7일,,동두천시 전지역,수도권 전지역(병원진료 우선),「장애인복지법 시행규칙」 제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 버스ㆍ지하철 등의 이용이 어려운 사람+만65세 이상으로 대중교통의 이용이 어려운 자+임산부로서 대중교통의 이용이 어려운 자+일시적으로 휠체어를 이용하는 자로서 대중교통수단의 이용이 어려운 자+제1호부터 제4호까지의 규정에 해당하는 교통약자를 동반하는 가족 및 보호자,관내 (1000원/회)+관외(1km당/100원),동두천시청 교통행정과,031-860-2290,2020-06-30,3920000,경기도 동두천시
예산군 교통약자이동지원센터,"충청남도 예산군 예산읍 벚꽃로 155번길 10, 예산군사랑채 105호","충청남도 예산군 예산읍 예산리 431-4, 3층",36.6947127562,126.835351,7,카니발 7대,7,0,1644-5588,해당없음,해당없음,00:00,00:00,00:00,00:00,09:00,18:00,09:00,18:00,이용 2일 전,,관내,충청남도내,"대중교통이용이 어려운 정도가 심한 보행 장애인 및 65세 노인, 임산부, 일시적 장애인 등","(관내) 기본요금: 2km까지 1000원, 추가요금: 130원/km (관외) 260원/km",충청남도 예산군청,041-339-7694,2020-06-25,4610000,충청남도 예산군
의정부시 시설관리공단 이동지원센터,경기도 의정부시 체육로 90,경기도 의정부시 녹양동 174-1,37.7600129873,127.0279670699,22,카니발+스타렉스,17,5,1577-2515,http://www.siseol.or.kr/uihappy/,없음,07:00,22:00,07:00,18:00,00:00,00:00,00:00,00:00,2일,,,,중증 장애인 1급 · 2급 + 국가유공자 상이등급 1급 · 2급 +동반하는 가족 및 보호자),"10km이내 : 1,000원, 10km초과 1km당 100원+광역운행 시 10km이내 : 1,000원, 10km초과 1km당 150원",의정부시,031-828-4783,2020-06-01,3820000,경기도 의정부시
오산시교통약자이동지원센터,경기도 오산시 경기동로 15,경기도 오산시 오산동 49,37.156843,127.0726163328,17,그랜드 카니발+그랜드 스타렉스+모닝+올뉴카니발+더뉴카니발,15,0,031-378-7816,해당사항없음,해당사항없음,09:00,18:00,08:00,20:00,00:00,24:00,08:00,20:00,7일,예약시간 1시간 이내의 취소 변경(장소 및 시간)+예약시간부터 10분 이내 미탑승+차량동승 신청을 하지 않고 예약자 본인 외에 다른 사람과 차량을 탑승하는 경우+이용 신청일 현재 미납요금이 있는 경우+센터에 연락하지 않고 운전원에게 직접 연락하고 차량을 이용하는 경우(즉시 이용제한)+기타 차량 운행에 방해를 주는 경우(즉시 이용 제한)+상담원에게 성적 수치심을 줄수 있는 농담 인격모독 욕설을 하는 경우(즉시 이용 제한),오산시,서울+경기+인천공항 및 오산시 경계로부터 50km 이내의 시군,장애정도가 심한 장애에 해당하는 사람으로서 <보행상 장애 표준기준표>에 해당하는 사람+국가유공자 상이등급 3급 이상에 해당하는 사람+장기요양보험 수급자(1~3급)+대중교통이용이 어렵다는 진단서를 제출한 사람(상기 대상자를 제외한 장애인 또는 국가유공자+65세 이상+임산부+일시적으로 휠체어를 이용하거나 재활치료를 받는 사람),"관내: 1,300원+관외: 1,300원 + 1km당 100원씩 할증(유료도로 통행료+톨게이트 비용+유료주차장요금 등 현장에서 발생하는 비용은 고객부담)",경기도 오산시,031-8036-7717,2020-06-30,4000000,경기도 오산시
남양주시교통약자이동지원센터,경기도 남양주시 진건읍 사릉로 406-1,경기도 남양주시 진건읍 용정리 781-2,37.656923,127.179453,42,올뉴카니발(슬로프형),42,0,1666-5525,http://dreamcall.nyj.go.kr/,경기도광역이동지원,09:00,21:00,07:00,16:00,00:00,23:59,00:00,23:59,"2일전 : 병원, 재활, 통학(학교) 목적에 한함, 1일전 : 일반목적",,전역,"서울, 경기, 인천","·보행상의 장애인으로서 장애의 정도가 심한 장애인·장애의 정도가 심하지 않은 장애인 중 휠체어 이용자·65세 이상으로 버스, 지하철 이용이 어려운 휠체어 이용자 (진단서 등 증빙자료 사전 제출자에 한함)·통학목적(초·중·고등학교)으로 관내 및 인접지역 통행이 어려운 휠체어 이용자·국가유공자 상이등급 1~3급 중 휠체어 이용자·「장애인 복지법 시행규칙」 개정 전(‘19.7.1.) 제2조에 따른 장애인 1~2급, 3~6급(휠체어이용자)","·기본요금 (관내) 시내버스 현금요금 동일 1,500원 (관외) 직행좌석버스 현금요금 동일 2,900원·초과요금 (관내) 10km 초과 5km마다 100원 (최대 700원) (관외) 30km 초과 5km마다 100원",남양주시청 교통정책과,031-590-4717,2020-07-01,3990000,경기도 남양주시
임실군장애인연합회 교통약자이동지원센터,전라북도 임실군 임실읍 호국로 1644,전라북도 임실군 임실읍 이도리 380-2,35.6102651152,127.283295,3,"스타렉스 2대, 카렌스 1대",3,0,063-642-5118,해당없음,해당없음,07:00,21:00,09:00,18:00,09:00,21:00,09:00,18:00,0,,관내,관내인탑승시 전지역 운행,"대중교통이용이 어려운 1.2급 중증장애인과 일시적으로 휠체어를 이용하는 환자, 65세 이상 노인 중 버스이용이 어려운 사람 등","일반 택시요금의 50 적용(2km 기본요금 1,700원, 148m당 80원)",전라북도 임실군청,063-640-2573,2020-06-28,4760000,전라북도 임실군
교통약자 특별교통수단,경상남도 통영시 북문2길 43-16,경상남도 통영시 정량동 162-5,34.85008367,128.4293738,20,그랜드스타렉스,0,20,1566-4488,-,,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,1,,경상남도,부산광역시,중증장애1~2급+만65세이상노약자(의사소견서첨부)+임산부,"기본요금 1,400원+143M당 50원(시내버스요금의 2배이내)",경상남도 통영시,055-650-5314,2020-06-22,5330000,경상남도 통영시
강릉시교통약자이동지원센터,강원도 강릉시 강변로 636-5,강원도 강릉시 두산동 228-3,37.76923193,128.9298526,15,스타렉스+카니발,7,8,1577-2014,http://call.gwd.go.kr,,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,최소 1일전,예약당일취소 또는 현장취소가 월 3회 초과 시 1개월 제한+비장애인만 승차하는 경우,강릉시전지역,강원도내 전지역강원도외는 상급병원방문시 가능,장애의 정도가 심한 장애인 중 보행불편 장애인+임산부+만65세이상 고령자 중 휠체어 이용자+교통약자를 동반하는 가족 및 보호자,"관내지역(기본 4㎞)기본요금 1,100원외 1Km당 100원 추가+관외지역 기본요금 1,100원외 1Km당 100원 추가+시설이용료(통행료,주차료등)와 대기료(1시간 무료,30분당 2,000원, 최대 4시간 대기가능)은 이용자 추가 부담",강릉시(개인택시강릉시지부위탁운영),033-640-5390,2020-01-31,4200000,강원도 강릉시
온누리이동지원센터,경기도 연천군 전곡읍 선사로14-71,경기도 연천군 전곡읍 전곡리687-2,38.01544896,127.0585373,13,카니발,13,0,031-835-1155,N,N,08:00,17:00,08:00,12:00,00:00,23:59,00:00,23:59,1일전,"10일이용제한(인원초과,운전원에게직접연락,이용대상증명서류미소지,요금미지불하고 목적지변경,이용예정시각미이행 월3회이상,예약시간2시간이내 취소및변경이 월3회이상,이용예정시각에 연락이 안되어는경우)1개월범위애 이용제한(직원에게 폭언및 폭행,핸들조작방해.운전을 방해하는 행위를 한 경우)",전지역,"수도권(서울,경기,인천),철원군","장애정도가 심한장애인으로서 같은 규칙 별표1에 따른 장애의 정도가 심한 장애인,대중교통이 어려운 만65세이상,혼자서 외출이 곤란하여군수가 특별수단이 필요하다고 인전하는 사람(임산부.영유아.어린이)",기본요금10km1000원(관내km100원.관외km200원),연천군시설관리공단,031-834-9585,2020-06-15,4140000,경기도 연천군
김해교통약자콜택시,,경상남도 김해시 삼정동 359,35.227692,128.900987,50,스타렉스+카니발,48,2,1566-4488,http://www.15664488.co.kr/,없음,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,1일전 21:00~ 24:00,,김해전역,"경남지역, 부산지역(편도운행)",장애인등급1·2급 소지자 + 65세이상 장기요양등급소지자 + 임산부로 대중교통이용이 어려운 자(의사소견서첨부) + 일시적 휠체어 사용자로 대중교통이용이 어려운 자(의사소견서첨부)+교통약자를 동반하는 가족 및 보호자,"김해시내구간 기본요금 1,200원(2km), 주행 100원(500m) *김해시내 최대요금 2,400원 + 경남지역 시외버스 편도요금 + 부산지역 기본요금 2,400원, 주행요금 200원(500m) *부산 최대요금10,000원",김해시청,055-330-2895,2020-06-30,5350000,경상남도 김해시
(사)한국지체장애인협회 부여군지회,충청남도 부여군 규암면 흥수로 816,충청남도 부여군 규암면 내리 246-3,36.2733132216,126.8712187216,4,카니발,4,0,041-836-0700,미운영,,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,2일,,부여전역,대전+충청남도,중증장애1~2급+장애인임산부+교통약자를 동반하는 가족 및 보호자,"기본요금 : 2km이내 1,300원추가요금 : km당 130원최대요금 : 2,600원",부여군청,041-830-2278,2020-06-30,4570000,충청남도 부여군
해남군교통약자이동지원센터,전라남도 해남군 해남읍 땅끝대로 77,전라남도 해남군 해남읍 용정리 15-2,34.5603659622,126.588356,4,카니발,4,0,061-536-3883,http://,,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00~24:00,해당사항없음,관내 전체지역,"광주, 전남 전역",1급 또는 2급 장애인 + 만65세 이상 + 임산부 + 교통약자를 동반하는 가족 및 보호자 2명 이내 등,"2km까지 기본요금 1,200원 + 146m당 60원",해남군,061-530-5369,2020-07-14,4930000,전라남도 해남군
의성군교통약자이동지원센터,경상북도 의성군 의성읍 잔보들길 130,경상북도 의성군 의성읍 철파리 418-6,36.3594973966,128.6801537041,4,그랜드카니발+올뉴카니발,4,0,054-833-2979,http://cafe.daum.net/1447--,,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,7일,이용고객이차량을예약하고비장애인만승차시키는경우+보호자의 동반탑승은 최초 탑승시 같이 동승하여야하며 중도에 보호자만 개별적으로 승하차하는경우+차량이용후요금납부를 거부하는 경우+상습적으로 차량예약을 취소하는경우,의성군 전지역,경상북도+대구광역시,1~2급장애인+3급장애인중 65세이상인자또는 대중교통 이용이 어려운자+임산부,"의성군관내지역 기본요금 1,300원(5km까지)5km초과시 1km당200원추가 한도5,000원+경상북도와대구광역시 행선지구간별 시외버스요금의 2배(의성,안계버스터미널요금기준)",경상북도 의성군청,054-830-6251,2020-06-30,5150000,경상북도 의성군
영광군 특별교통수단(장애인콜택시),전라남도 영광군 영광읍 대하길 18-3,전라남도 영광군 영광읍 신하리 834-10,35.2728173880,126.4980641370,4,올뉴카니발,4,0,1899-1110,http://www.doumcall.kr/,,08:00,18:00,00:00,00:00,08:00,18:00,00:00,00:00,1일,,영광군 관내,전라남도 내,- 이용대상 : 영광군 교통약자의 이동편의 증진 및 운영에 관한 조례 제17조     ? 1. 중증 장애인으로서 버스 등의 이용이 어려운 자     ? 2. 2급 이상의 상이등급에 해당하는 자로서 버스 등의 이용이 어려운 자     ? 3. 사고·질병 등으로 인한 일시적 장애로 버스 등의 이용이 어려운 자     ? 4. 65세 이상의 자로서 버스 등의 이용이 어려운 자                                     5. 제1호부터 제4호까지에 해당하는자를 동반하는 가족 및 보호자 2인 이내 포함,"·기본요금 : 2km까지 1,000원  ·주행요금 : 146m당 40원, 35초당 40원·대기료 : 30분당 2,000원    ·고속·유료도로 수탁자부담  ·콜요금 : 무료",전남지체장애인협회 영광군지회,061-353-9931,2020-06-26,4970000,전라남도 영광군
전남지체장애인협회 화순군지회,전라남도 화순군 화순읍 부처샘길 5-11,,35.0677473,126.991519,3,카니발,3,0,1899-1110,0,0,08:00,19:00,08:00,17:00,08:00,19:00,08:00,17:00,연중,없음,관내 전읍면,"광주광역시, 나주시",1~2급 지체장애인1~5급시각장애인,기본요금 500원,화순군,061-379-3784,2020-07-10,4900000,전라남도 화순군
전라남도지체장애인협회 보성군지회,전라남도 보성군 보성읍 현충로 186,,34.7741749110,127.0865911027,4,카니발,4,0,1899-1110,없음,없음,08:00,00:00,00:00,00:00,08:00,00:00,08:00,00:00,1일전,,보성군 전역,광주광역시 및 인접시군,"1~2급 장애인 및 보호자, 65세이상 대중교통이용이 어려운자를 제외한 자는 이용불가","기본요금 2km:1,500",보성군,061-850-5512,2020-07-13,4890000,전라남도 보성군
강남장애인복지관,서울특별시 강남구 개포로 605(일원동),,37.4919140,127.0734570,2,대형승합차+중형승합차,0,2,02-445-8006,www.activeart.or.kr,,09:00,18:00,09:00,18:00,08:00,16:30,08:00,16:30,해당사항 없음,해당사항 없음,강남구 관내,해당사항 없음,장애인+노약자+임산부,무료,강남구청,02-3423-5875,2020-03-02,3220000,서울특별시 강남구
칠곡군 교통약자 이동지원센터,경상북도 칠곡군 왜관읍 석전로7길 58,경상북도 칠곡군 왜관읍 석전리 473,36.0066688835,128.4082377364,7,승합차,7,0,1899-7770,인터넷 예약 불가,해당없음,09:00,18:00,09:00,18:00,08:00,18:00,08:00,14:00,이용일 7일전부터 1일전까지,-,칠곡군,경상북도 및 대구광역시(병원 및 관공서 이용),"1. 「장애인복지법 시행규칙」제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 대중교통의 이용이 어려운 사람 2. 사고,질병등일시적장애로휠체어를이용하는사람으로서대중교통의이용이 어려운 사람3. 1호및2호에해당하는교통약자를동반한가족이나보호자4. 그밖에특별교통수단이필요하다고인정하는사람","기본료(2km까지): 1,300원, 2km 초과부터 km당: 200원   ※ 관내는 최대 7,000원, 고속도로 통행료 및 주차료 이용자 부담",칠곡군청 교통행정과,054-979-6564,2020-07-07,5220000,경상북도 칠곡군
제천시 특별교통수단 이동지원센터,충청북도 제천시 내토로 73길 22,충청북도 제천시 고암동 145-13,37.171529,128.242342,8,"카니발, 스타렉스",6,2,043-644-5553,없음,,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,1일,보호자 동반,관내 전체,"원주, 충주, 단양, 영월","장애인 1,2급 및 일시적 휠체어 이용자",일반택시 미터기의 50,제천시지체장애인협회,043-644-0860,2020-07-09,4400000,충청북도 제천시
진안군교통약자이동지원센터,전라북도 진안군 진안읍 관산2길 11,전라북도 진안군 진안읍 군하리 91-1,35.790568,127.4251600050,3,카니발,0,3,063-433-4222,http://***.***,,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,2일전,,진안군 전지역,전국,중증장애인,"[관내] - 기본요금(2km) : 1,400원- 추가요금(148m당) : 30원[관외]- 시외버스 요금의 2배",전북 진안군청,063-430-2356,2020-07-13,4730000,전라북도 진안군
논산시교통약자이동지원센터,충청남도 논산시 해월로87번길 18,충청남도 논산시 부창동 274-139,36.2003202,127.078218,10,카니발,10,0,1644-5588,없음,없음,00:00,00:00,00:00,00:00,07:00,21:00,09:00,18:00,2일,,논산시,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 논산시지부,1600-6335,2020-07-01,4540000,충청남도 논산시
무안군교통약지이동지원센터,전라남도 무안군 무안읍 면성1길 27,,34.99186126,126.478132,4,카니발장애인차,4,0,1899-1110,http://doumcall.co.kr,,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,24시간 전,예약 후 당일 취소 및 연락불가시 이용제한,관내 전지역,전라남도,65세이상 대중교통이용 불가능자중복3급이상 중증장애인임산부일시적 휠체어 이용자,"2km 1400, 146m당 64원",사단법인 무안군장애인협회,061-454-8818,2020-07-09,4950000,전라남도 무안군
전남지체장애인협회담양군지회,전라남도 담양군 담양읍 천변5길 63,,35.3147699418,126.976612433,3,창림저상슬로프장애인차,3,0,061-381-3100,http://kappd-jn.or.kr,,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,7일,,,,1~2급+휠체어 이용자,관내지역 (2km까지) 기본요금 1400원,전라남도 담양군청,061-380-3055,2020-07-07,4850000,전라남도 담양군
교통약자 이동지원 센터 행복콜,"경상북도 문경시 남부4길 13(모전동, 장원하이드파크) 101호",경상북도 문경시 모전동 67,36.5871278,128.1940527,7,카니발 장애인콜택시,7,0,054-556-7755,인터넷 접수불가,-,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,당일 2시간 전 즉시예약,"1) 늦어도 당일 2시간 전 예약 해야함.2) 주말운행은 병원이용 목적인 사전 예약자에 한함.3) 예약 시, 1, 2급 장애인증명서(또는 복지카드) 또는 의사소견서를 첨부해야함.",문경시 전역,"경북, 대구(병원이용목적으로만)","1) 장애정도가 심한 장애인2) 장애정도가 심하지 않은 장애인, 65세 이상 노약자, 임산부 중 대중교통 이용이 어려운자  및 일시적 장애로 인한 휠체어 이용자 3) 1과 2의 이용대상자 보호자 및 가족","1) 기본요금:1,300원(5km내)2) 추가요금: 200원/km(5km초과 시)*단, 관내는 5,000원 이내, 관외는 시외버스 요금의 2배 를 초과하지 못함.",문경시,054-550-6859,2020-07-10,5120000,경상북도 문경시
성남시내버스(주) 택시사업부,경기도 성남시 중원구 순환로233,경기도 성남시 중원구 순환로233 4층,37.4445738228,127.1789474150,56,카니발,56,0,1577-1158,-,,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,최소1일~7일전,"유해 물품을 소지한 경우,휠체어 고정 장치의 결속을 거부하는 경우,안전벨트(고정벨트) 착용을 거부하는 경우,법정 전염병 환자 및 중병자가 승차하는 경우,안전사고가 발생할 수 있는 교통약자 승객단독으로 승차하는 경우,금지행위에 대하여 사업자 및 종사원의 제지 또는 안내에 따르지 않는 경우,휴대품의 중량 용적규격을 초과하거나 화물운송을 요구 하는 경우",성남시 전지역,"차량 관외 운행 지역 (경기,서울,인천)","1,2급 장애인, 3급 지체 장애인, 기타 휠체어로 이동하는자(의사소견서)","관내 1,500원, 관외 10KM 1,500원, 거리요금 144M당 50원, 할증 : 심야,시외 20",성남시 (대중교통과),031-729-3722,2020-01-01,3780000,경기도 성남시
전남지체장애인협회 영암군지회,전라남도 영암군 영암읍 영암로 1527,전라남도 영암군 영암읍 교동리 50-2,34.7949612373,126.6969604596,4,승합 중형,4,0,1899-1110,없음,,07:30,15:00,00:00,00:00,08:00,18:00,00:00,00:00,전일,,영암군,전라남도,"장애인복지법 시행규칙 제2조제1항에 따른 1,2급 장애인으로서 대중교통수단의 이용이 어려운 사람65세 이상으로서 대중교통수단의 이용이 어려운 사람임산부으로 대중교통수단의 이용이 어려운 사람일시적으로 휠체어를 이용하는 사람으로서 대중교통수단의 이용이 어려운 사람","기본요금(2Km) : 700원거리운임 146m : 32원시간운임 : 35초 32원고속도료, 유료도로, 통행료 및 주차료 : 이용자 부담콜요금 : 없음할증요금 : 없음",영암군청,061-470-2356,2020-07-13,4940000,전라남도 영암군
장수군 이동지원센터,전라북도 장수군 장수읍 신천로 79,전라북도 장수군 장수읍 노하리 376,35.6539286683,127.5179359541,2,카니발,2,0,063-227-0002,http://www.0632270002.com/view/index.do,전라북도 광역이동지원센터 승객용앱,00:00,24:00,00:00,23:59,09:00,23:59,09:00,23:59,7일 전,○ 당일 즉시 이용고객 또는 예약자로서 차량 도착 후 이용 취소한 자 : 당일 이용제한○차량 도착 후 10분 이내에 승차하지 않은 경우가 3회 이상인 자 : 10일 이용제한 ○ 예약시간으로부터 1시간 이내 예약취소가 3회 이상인 자 : 1개월 이용제한○ 이용신청 없이 운전원과 직접 연락하여 차량을 이용한 자 : 1개월 이용제한 ○무임승차가 2회 이상인 자 : 1개월 이용제한 ○ 이용객과 동반할 목적이 아닌 일반인의 동승 및 중도 하차 요구자 :,전 지역,전국,"○ 장애의 정도가 '심한 장애인' 중 대중교통 이용이 어려운 자(보행상 장애인)○ 65세 이상으로 대중교통 이용이 어려운 자 ○ 대중교통 이용이 어려운 임산부, 일시적 휠체어 이용자○이용대상자를 동반하는 가족 및 보호자","○권역내 - 기본요금 700원(2km) , 주행요금 100원(km당)/ 최대 2,000원 부과○권역외 - 기본요금 700원(2km) , 주행요금 100원(km당) / 최대 시외버스 시외버스 요금 2배 부과",장수군청,063-350-2567,2020-07-15,4750000,전라북도 장수군
홍성군장애인생활이동지원센터,충청남도 홍성군 홍성읍 조양로33번길 17,충청남도 홍성군 홍성읍 옥암리 62-8,36.5975498,126.656054,9,승합차,0,0,041-633-6315,-,,08:00,18:00,00:00,00:00,08:00,20:00,09:00,18:00,"관내:1일전, 관외:3일전",,홍성군전지역,충남지역,홍성군등록장애인,차량이용요금표 기준,홍성군장애인생활이동지원센터,041-631-2616,2020-07-14,4600000,충청남도 홍성군
대전교통약자이동지원센터,대전광역시 중구 대종로373,대전광역시 중구 부사동 209-1,36.3180021582,127.4304738894,86,특장차(특별교통수단),81,5,042-612-1010,www.djcall.or.kr,대전교통약자이동지원센터,06:00,11:00,07:00,21:30,06:00,23:00,07:00,22:00,바로콜방식(야간차량만 당일에 예약),"[1개월의 범위 내에서 이용 제한] ① 차량 도착 후 이용을 취소한 경우가 월 3회 이상인 경우  ② 차량 배차 후 취소한 경우가 월 6회 이상인 경우  ③ 상담원, 운전원에게 폭행, 폭언, 성추행, 성희롱 등의 행위를 한 경우  ④ 운전에 방해를 준 적이 있는 이용대상자로서 상담원 또는 운전원이 보호자의 동승이 필요하다고 요구 했음에도 동승하지 않은 경우  ⑤ 중도에 보호자만 개별적으로 탑승하거나 하차하는 경우  ⑥ 콜센터에 이용신청 없이 운",대전 전지역,"공주, 논산, 계룡, 청주, 금산, 옥천, 세종",1. 보행상장애인으로서 장애의 정도가 심한 사람  2. 휠체어를 이용하는 65세 이상 노약자  3. 대전광역시에 주민등록을 둔 임산부(임신 중이거나 출산 후 6개월 미만)  4. 일시적 휠체어 이용자,"요금산정방식: 시간거리요금 병산제 / 기본요금 3km 1,000원 / 440m당 100원, 107초당 100원",대전복지재단,042-331-8905,2020-06-29,6300000,대전광역시
(사)한국교통장애인협회 울진군지회,경상북도 울진군 울진읍 공세항길 19-60,경상북도 울진군 울진읍 읍내리 15-2,36.9913786063,129.405693,4,카니발,0,4,054-782-5775,해당없음,해당없음,08:00,18:00,00:00,00:00,08:00,18:00,00:00,00:00,관내 3일전+관외 2달전,관내 주5회+관외:1달에 2번,울진군 관내,경상북도+강릉병원+대구병원+동해병원+삼척병원,장애등급 1급+2급 장애인+65세 이상의 대중교통수단이용이 어려운 사람(의사진단서),"관내편도기준 기본4km까지 1,400원외 1km당 200원+관외요금 시외버스요금의 2배",경상북도 울진군청,054-789-6393,2020-07-13,5250000,경상북도 울진군
제주특별자치도 교통약자 이동지원센터,제주특별자치도 제주시 연북로 173,,33.481802,126.4999482,46,그랜드카니발+그랜드스타렉스+쏠라티,45,1,1899-6884,http://www.jejuhappycall.com/,,00:00,00:00,00:00,00:00,00:00,23:59,00:00,23:59,예약접수 운영안함,,,,① 1 2급 장애인으로 대중교통 이용이 어려운 자 ② 65세 이상으로서 대중교통 이용이 어려운 자 ③ 3급 장애인 중 뇌병변 또는 휠체어를 이용하는 사람으로 대중교통 이용이 어려운자 ④ 임산부ㆍ일시적으로 휠체어를 이용하는 자로서 대중교통 이용이 어려운자,기본요금(10km내)500원+거리요금(1km당)100원+요금상한제1000원,교통정책과,064-710-2413,2020-06-30,6500000,제주특별자치도
여주시 교통약자이동지원센터,경기도 여주시 여흥로 109번길 17-1(창동),경기도 여주시 창동 46,37.2973772622,127.6358905482,18,카니발+스타렉스,16,1,1522-2796,https://yjcmc.or.kr,,06:00,22:00,06:00,09:00,06:00,22:00,06:00,22:00,2일,차량도착 후 20분 이내 승차 불이행+주말 예약 24시간 전 취소 불이행+폭언+신체적 접촉+과도한 음주,여주시 전지역,서울특별시+경기도+음성군+충주시+원주시,"장애인+65세 이상, 임산부 및 영유아 동반, 일시적으로 휠체어를 이용하는 사람 중 대중교통 이용이 어려운 사람+교통약자를 동반하는 가족 및 보호자","기본요금 10Km당 1,300원(초과요금 3Km당 100원)+관외지역 20 할증+고속도로 통행료, 주차료 이용자 부담+기초생활수급자 50 할인+시계 외 심야시간(0시~4시) 20 할증",여주시,031-887-2292,2020-07-15,5700000,경기도 여주시
교통약자이동지원센터,경기도 포천시 군내면 청성로 112,경기도 포천시 군내면 하성북리 618번지,37.8962317748,127.2110779559,17,카니발+스타렉스,17,0,031-536-2000,없음,-,13:00,21:00,13:00,18:00,00:00,00:00,00:00,00:00,2일전,예약당일1시간이내취소 3회 시 1주일 이용제한,포천시 전지역,"서울, 경기도, 인천, 철원",장애정도가 심한 장애인(장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애),"기본요금 - 1,250원(10km), 초과요금 - 관내 : 100원/5km 관외 150원/km",포천도시공사,031-540-6000,2020-06-30,5600000,경기도 포천시
대구시달서구장애인이동지원센터,대구광역시 달서구 월성로 77,대구광역시 달서구 월성동 86,35.83004237,128.528337,1,스타렉스,0,1,053-641-0641,해당없음,,09:00,18:00,00:00,00:00,09:00,18:00,09:00,17:00,7일,,대구광역시 전지역,,대구시 달서구내 등록장애인,무료,대구광역시 달서구청,053-667-2566,2020-07-08,3470000,대구광역시 달서구
